,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,Strongest Beat Overall Standard Deviation,Beat Sum Overall Standard Deviation,Strength Of Strongest Beat Overall Standard Deviation,Strongest Frequency Via Zero Crossings Overall Standard Deviation,Strongest Frequency Via Spectral Centroid Overall Standard Deviation,Strongest Frequency Via FFT Maximum Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Peak Based Spectral Smoothness Overall Standard Deviation,Relative Difference Function Overall Standard Deviation,Area Method of Moments Overall Standard Deviation 1,Area Method of Moments Overall Standard Deviation 2,Area Method of Moments Overall Standard Deviation 3,Area Method of Moments Overall Standard Deviation 4,Area Method of Moments Overall Standard Deviation 5,Area Method of Moments Overall Standard Deviation 6,Area Method of Moments Overall Standard Deviation 7,Area Method of Moments Overall Standard Deviation 8,Area Method of Moments Overall Standard Deviation 9,Area Method of Moments Overall Standard Deviation 10,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,Strongest Beat Overall Average,Beat Sum Overall Average,Strength Of Strongest Beat Overall Average,Strongest Frequency Via Zero Crossings Overall Average,Strongest Frequency Via Spectral Centroid Overall Average,Strongest Frequency Via FFT Maximum Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Peak Based Spectral Smoothness Overall Average,Relative Difference Function Overall Average,Area Method of Moments Overall Average 1,Area Method of Moments Overall Average 2,Area Method of Moments Overall Average 3,Area Method of Moments Overall Average 4,Area Method of Moments Overall Average 5,Area Method of Moments Overall Average 6,Area Method of Moments Overall Average 7,Area Method of Moments Overall Average 8,Area Method of Moments Overall Average 9,Area Method of Moments Overall Average 10,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11,label
330,3.282,0.02119,0.0003383,207.3,0.0008041,0.03015,0.04066,7.773,7.976e-13,24.41,0.0002676,121.5,102.5,146.4,50.25,4.1,2.435,2.76,2.257,2.219,1.913,2.013,1.948,2.179,2.405,2.082,1.68,0.04679,0.08881,0.2544,0.1759,0.1183,0.08369,0.07636,0.07225,0.07402,0.0,0.05778,4.608,287.0,28890.0,4850000.0,21.53,1.145,0.4988,603.0,3122.0,10610000000.0,83180000000.0,577100000000.0,2.8e+17,749200000000.0,5199000000000.0,1.6e+20,14.81,0.07197,0.0002456,1735.0,0.00207,0.08026,0.5743,32.26,220.6,137.2,0.009418,504.1,462.7,445.8,-127.4,15.12,-4.0,-1.05,-4.831,-1.249,-1.997,0.3639,-0.08505,-0.6703,-0.6602,-0.9249,-0.9781,-0.9741,0.8469,-0.1001,0.07435,0.1141,0.09392,0.04128,0.03795,0.03267,0.0,0.1574,24.03,609.1,46240.0,6221000.0,42.0,-5.073,1.579,8798000.0,92430000.0,-77410000000000.0,-813200000000000.0,-8543000000000000.0,1.362e+21,7321000000000000.0,7.691e+16,1.579e+24,0.50825316,0.4287953,0.41169634,0.4025103,0.40612245,0.39825293,0.42685273,0.4994225,0.47138354,0.47514132,0.5263871,0.52263755,tension
331,5.177,0.0427,0.0004178,212.5,0.001121,0.0432,0.07338,10.39,40.54,43.73,0.002492,162.3,161.8,183.2,62.73,6.716,3.274,2.667,2.571,1.687,2.115,1.783,2.165,1.864,2.327,2.081,1.571,0.04831,0.2745,0.2921,0.1688,0.1252,0.09753,0.07533,0.07567,0.06406,0.0,0.09545,7.159,913.0,127600.0,24660000.0,27.72,1.628,0.8698,611.1,3077.0,10760000000.0,83480000000.0,568900000000.0,2.84e+17,755100000000.0,5159000000000.0,1.578e+20,11.81,0.06728,0.0001378,1651.0,0.00124,0.04829,0.5798,27.91,156.4,65.6,0.01376,436.1,369.0,324.2,-154.8,17.02,-2.67,0.9505,-2.358,0.1142,-0.9277,0.7299,-0.2822,0.1789,0.4648,-0.5708,-0.6217,-0.9776,0.7321,-0.07299,0.03548,0.06382,0.04893,0.01521,0.003843,0.01144,0.0,0.1037,22.95,905.7,93340.0,15880000.0,44.45,-6.161,1.047,8800000.0,92440000.0,-77450000000000.0,-813500000000000.0,-8545000000000000.0,1.363e+21,7324000000000000.0,7.693e+16,1.58e+24,0.48802635,0.47847188,0.53884745,0.54708374,0.5281687,0.54585916,0.5851402,0.6393944,0.57117236,0.55756474,0.5827777,0.5440625,tension
332,4.839,0.02703,0.0001806,203.7,0.0005547,0.0207,0.03533,10.63,31.01,9.329,9.271e-05,166.1,151.2,243.7,66.75,3.731,2.618,2.338,2.208,2.0,2.129,2.185,2.403,2.486,2.613,2.409,1.949,0.06501,0.09725,0.285,0.1646,0.1167,0.09001,0.08087,0.07949,0.08042,0.0,0.04165,4.354,171.9,19770.0,3519000.0,24.01,1.204,0.2907,600.8,2995.0,10580000000.0,81870000000.0,553700000000.0,2.793e+17,736300000000.0,4977000000000.0,1.536e+20,15.1,0.08126,0.0001144,1724.0,0.001339,0.05193,0.5933,34.31,175.9,77.7,0.009264,536.1,471.8,498.7,-141.8,17.84,-3.96,-0.1232,-3.021,0.7884,-0.6691,1.765,-0.05126,-1.685,-0.3898,-0.4848,-0.1881,-0.9697,0.8603,-0.1089,0.0264,0.06535,0.04441,0.0001352,-0.01824,-0.01174,0.0,0.1044,21.82,495.8,37770.0,5282000.0,50.31,-5.384,1.053,8802000.0,92450000.0,-77480000000000.0,-813800000000000.0,-8547000000000000.0,1.364e+21,7327000000000000.0,7.695e+16,1.58e+24,0.54392093,0.44724214,0.46218777,0.46148664,0.38220724,0.3384687,0.32466733,0.36893472,0.3689397,0.39721605,0.48010236,0.5047976,tension
333,5.131,0.03225,0.001318,233.0,0.001434,0.05221,0.03741,8.893,5.062,38.28,0.0004418,139.0,160.4,182.7,81.75,6.174,3.304,4.032,3.679,2.555,2.702,2.34,2.636,3.056,2.213,2.214,2.138,0.08247,0.1584,0.1854,0.1426,0.1265,0.1188,0.1211,0.09324,0.07765,0.0,0.07824,7.929,597.6,67280.0,11720000.0,19.7,5.26,0.607,602.5,2726.0,10610000000.0,79640000000.0,504100000000.0,2.802e+17,717500000000.0,4544000000000.0,1.398e+20,12.3,0.06152,0.0005476,1686.0,0.002632,0.09971,0.5966,26.45,219.8,206.0,0.009936,413.3,384.5,382.1,-142.1,19.29,-0.2468,-4.168,-3.212,-2.01,-0.2952,1.306,1.101,-2.051,-1.923,-0.7059,0.272,-0.9754,0.7949,0.204,0.1607,0.06686,0.01506,0.006045,0.0167,0.004679,0.0,0.16,21.36,918.8,112900.0,19190000.0,25.39,-4.818,1.614,8805000.0,92460000.0,-77520000000000.0,-814100000000000.0,-8549000000000000.0,1.365e+21,7329000000000000.0,7.697e+16,1.581e+24,0.5120315,0.58431864,0.44705465,0.39509276,0.46421346,0.48739237,0.48455107,0.5043941,0.45322335,0.42372787,0.4452588,0.46412078,calmness
334,4.492,0.02819,0.0007402,205.0,0.0009208,0.03513,0.0586,7.873,56.96,4.304,0.000691,123.0,140.4,175.8,52.37,5.952,4.141,2.501,2.385,2.103,2.17,2.007,3.253,3.23,2.427,1.74,3.467,0.048,0.19,0.1853,0.1342,0.1133,0.09802,0.07632,0.07554,0.07796,0.0,0.06279,6.925,558.1,67880.0,12640000.0,19.05,1.557,0.5196,604.2,2359.0,10640000000.0,76610000000.0,436200000000.0,2.811e+17,688400000000.0,3913000000000.0,1.21e+20,9.911,0.05499,0.0001356,1635.0,0.0009463,0.03641,0.6296,22.65,187.7,27.46,0.009829,353.8,309.7,307.4,-172.7,22.65,2.481,-4.253,-2.993,-1.525,-1.746,0.3056,2.348,-0.4283,-0.6445,-0.7265,-0.8686,-0.9842,0.7505,0.2589,0.1257,0.04704,-0.009679,-0.03258,-0.02799,-0.0269,0.0,0.06081,17.91,886.7,123600.0,22690000.0,30.67,-5.993,0.5999,8807000.0,92470000.0,-77560000000000.0,-814300000000000.0,-8550000000000000.0,1.366e+21,7332000000000000.0,7.698e+16,1.581e+24,0.42822492,0.4296293,0.40219715,0.44722912,0.5727797,0.61713326,0.6244567,0.6333428,0.62342626,0.57859814,0.55912703,0.475146,calmness
335,4.031,0.01963,0.0006481,221.7,0.00135,0.05028,0.05295,9.251,44.45,14.81,0.0003672,144.5,126.0,185.1,52.45,6.821,4.074,2.73,2.422,2.866,2.44,2.733,2.234,2.726,2.637,2.892,2.424,0.04624,0.1347,0.1661,0.1263,0.1277,0.1221,0.1035,0.07875,0.08377,0.0,0.08049,6.795,569.3,68110.0,11880000.0,19.12,1.494,0.6629,604.2,2563.0,10640000000.0,78420000000.0,474000000000.0,2.813e+17,704900000000.0,4256000000000.0,1.315e+20,12.71,0.06645,0.0002987,1664.0,0.001897,0.0723,0.5893,28.32,158.9,123.0,0.009407,442.5,397.1,413.0,-150.7,22.52,0.6566,-4.687,-2.839,-0.4878,-0.9028,-0.2134,0.0008849,-2.605,-1.15,0.2543,-0.2914,-0.9793,0.8073,0.2531,0.1335,0.0247,0.003776,-0.03693,-0.03754,-0.02989,0.0,0.1212,20.01,849.9,110000.0,19220000.0,31.26,-5.195,1.209,8809000.0,92480000.0,-77590000000000.0,-814600000000000.0,-8552000000000000.0,1.367e+21,7334000000000000.0,7.699e+16,1.582e+24,0.44786757,0.5528028,0.43653136,0.43046555,0.50180984,0.48085698,0.47639975,0.50826496,0.44354457,0.37299877,0.3816533,0.40079156,calmness
336,4.31,0.0243,0.00123,209.6,0.001702,0.06387,0.05044,8.794,46.79,32.41,0.0005787,137.4,134.7,202.7,53.22,6.324,3.888,3.501,3.119,2.576,2.514,2.683,2.341,3.252,2.179,2.932,2.143,0.04717,0.1526,0.2138,0.1429,0.1165,0.1186,0.1089,0.08818,0.08755,0.0,0.1023,7.503,689.9,76930.0,13660000.0,22.29,1.606,0.8635,607.0,2690.0,10700000000.0,79810000000.0,497600000000.0,2.827e+17,718100000000.0,4476000000000.0,1.381e+20,12.85,0.06725,0.0003519,1642.0,0.001989,0.07542,0.5787,29.17,191.1,140.4,0.01084,455.8,401.6,409.5,-154.5,21.34,0.125,-6.024,-3.769,-0.4341,-0.7788,1.122,1.979,-2.881,-1.206,0.1193,-0.5597,-0.9783,0.8101,0.2306,0.1531,0.04919,0.01723,-0.008289,-0.02241,-0.049,0.0,0.1215,20.73,911.6,115800.0,20340000.0,27.73,-5.342,1.215,8811000.0,92490000.0,-77630000000000.0,-814900000000000.0,-8554000000000000.0,1.368e+21,7336000000000000.0,7.701e+16,1.582e+24,0.45782453,0.35083833,0.32498783,0.4319629,0.52000123,0.45097753,0.3768564,0.36065462,0.29194626,0.33995244,0.549287,0.5323657,calmness
337,2.451,0.01779,0.000328,219.6,0.0007783,0.0291,0.03611,6.238,7.976e-13,12.64,0.000134,97.47,76.58,135.8,82.52,2.598,2.094,2.459,1.655,1.551,2.138,1.9,1.677,2.196,1.949,1.825,1.677,0.07779,0.1011,0.2625,0.1971,0.1183,0.09531,0.07314,0.07536,0.07106,0.0,0.06401,3.713,264.9,25520.0,4591000.0,21.31,5.227,0.3541,602.0,3399.0,10610000000.0,85640000000.0,628800000000.0,2.805e+17,770900000000.0,5660000000000.0,1.745e+20,15.45,0.07555,0.0003131,1767.0,0.002156,0.08448,0.5162,34.99,220.6,199.0,0.009487,546.7,482.7,450.6,-126.4,13.96,-4.709,-0.2243,-4.701,-1.355,-1.79,1.158,-0.4442,-1.944,-0.9028,0.08989,-0.7277,-0.9675,0.8424,-0.2339,0.0831,0.1343,0.09259,0.03922,0.03064,0.03356,0.0,0.1785,25.31,632.0,43330.0,5656000.0,51.84,-4.975,1.794,8813000.0,92500000.0,-77670000000000.0,-815200000000000.0,-8556000000000000.0,1.369e+21,7339000000000000.0,7.703e+16,1.583e+24,0.42474347,0.41873604,0.5072715,0.59580207,0.531219,0.4434996,0.47260255,0.45809928,0.39149404,0.37928987,0.4578554,0.46017858,joyful_activation
338,3.104,0.0274,0.0004804,219.7,0.0009625,0.03627,0.03339,7.329,3.922,38.99,0.0001425,114.5,97.01,153.1,50.51,2.639,1.861,1.931,1.792,1.836,1.634,1.608,2.096,2.077,1.953,1.533,1.804,0.04735,0.07761,0.2532,0.1786,0.102,0.08429,0.06837,0.07053,0.07494,0.0,0.08512,4.571,317.6,28450.0,5597000.0,22.35,1.192,0.6761,602.5,3398.0,10620000000.0,85690000000.0,628800000000.0,2.809e+17,770800000000.0,5654000000000.0,1.745e+20,15.88,0.084,0.0004317,1754.0,0.002555,0.1007,0.5191,35.76,219.2,232.7,0.009181,558.7,496.4,451.5,-117.3,13.99,-4.402,-0.271,-3.926,-1.425,-2.022,0.08329,-1.057,-1.207,-0.8637,-0.5018,-0.7532,-0.97,0.8478,-0.2207,0.06411,0.08647,0.06766,0.03511,0.02981,0.04211,0.0,0.2223,25.93,676.4,48470.0,6476000.0,55.9,-4.726,2.219,8815000.0,92510000.0,-77700000000000.0,-815500000000000.0,-8558000000000000.0,1.37e+21,7342000000000000.0,7.705e+16,1.583e+24,0.51846904,0.43393043,0.5313475,0.4936685,0.49603215,0.44312912,0.46863478,0.45837855,0.394058,0.38363627,0.45986316,0.55137926,joyful_activation
339,2.998,0.02324,0.0005373,204.1,0.001116,0.0429,0.02917,7.363,7.976e-13,34.81,0.0001922,115.0,93.68,169.5,50.87,2.203,1.984,2.031,1.918,1.905,1.979,1.84,1.835,2.487,2.139,2.133,1.601,0.04817,0.0842,0.2496,0.1929,0.1115,0.09764,0.09386,0.08361,0.08251,0.0,0.1087,3.776,275.1,27960.0,5017000.0,24.44,1.138,0.8715,603.3,3589.0,10640000000.0,87460000000.0,664100000000.0,2.814e+17,788100000000.0,5986000000000.0,1.843e+20,16.46,0.08572,0.0004853,1751.0,0.002686,0.1056,0.5057,37.89,220.6,224.2,0.009565,592.0,514.3,477.6,-115.4,12.5,-4.344,-0.16,-4.149,-0.9985,-1.638,0.6203,-0.2035,-2.049,-0.95,-0.5901,-1.123,-0.9666,0.8334,-0.2845,0.0859,0.1353,0.1027,0.02279,0.009715,0.01368,0.0,0.2398,27.27,733.3,51100.0,6769000.0,58.76,-4.564,2.401,8817000.0,92520000.0,-77740000000000.0,-815800000000000.0,-8560000000000000.0,1.371e+21,7344000000000000.0,7.707e+16,1.584e+24,0.41564152,0.42045608,0.5250702,0.5902948,0.48313904,0.37170765,0.35791728,0.36267725,0.3838207,0.44332683,0.58245283,0.48617563,joyful_activation
340,4.522,0.04379,0.0003718,213.1,0.0009119,0.03402,0.05648,6.609,26.32,11.1,0.0003211,103.3,141.3,109.8,51.2,5.565,2.061,2.766,2.053,1.825,1.852,2.349,2.881,2.766,2.046,3.145,2.136,0.0459,0.08247,0.2728,0.1897,0.1189,0.09742,0.09073,0.08733,0.08118,0.0,0.07677,6.5,432.8,26310.0,5666000.0,26.91,1.258,0.5619,601.9,3451.0,10620000000.0,86100000000.0,638700000000.0,2.809e+17,775100000000.0,5749000000000.0,1.773e+20,16.07,0.07702,0.0002563,1747.0,0.00193,0.07527,0.5557,34.48,204.8,112.5,0.01032,538.7,502.1,454.1,-131.7,12.12,-4.705,-0.7653,-4.359,-2.159,-2.619,2.077,1.582,0.2869,-2.127,-2.608,-1.997,-0.9703,0.8382,-0.1836,0.09132,0.1391,0.08847,0.02141,0.04585,0.06861,0.0,0.1459,26.55,690.1,47560.0,6411000.0,43.31,-4.974,1.452,8819000.0,92530000.0,-77780000000000.0,-816100000000000.0,-8563000000000000.0,1.372e+21,7347000000000000.0,7.709e+16,1.585e+24,0.5251575,0.3337658,0.3196776,0.32959843,0.27061397,0.23466454,0.23628202,0.2690149,0.35367158,0.47942397,0.7255929,0.6930667,joyful_activation
341,2.64,0.01893,0.0001175,205.0,0.000595,0.02158,0.03677,6.384,62.39,5.126,0.0001918,99.75,82.51,107.4,80.39,4.27,2.224,1.647,1.958,1.796,1.975,2.153,2.159,1.64,2.251,1.951,1.429,0.07876,0.1397,0.3073,0.1806,0.1129,0.08595,0.06845,0.05535,0.05251,0.0,0.03217,3.983,240.2,16900.0,3463000.0,22.09,5.189,0.237,602.2,2356.0,10620000000.0,76510000000.0,436100000000.0,2.811e+17,688900000000.0,3927000000000.0,1.211e+20,11.74,0.05877,5.791e-05,1694.0,0.001335,0.051,0.589,24.93,173.0,67.63,0.008845,389.5,367.0,344.2,-155.2,25.67,-7.122,1.477,-2.88,-1.622,-3.285,-1.218,-0.8205,-1.339,-2.887,-0.7302,-0.6012,-0.9781,0.8292,0.05952,-0.0439,-0.001385,0.0425,0.05782,0.05878,0.05543,0.0,0.08708,17.53,334.5,30560.0,5111000.0,38.09,-6.132,0.8779,8821000.0,92540000.0,-77810000000000.0,-816400000000000.0,-8564000000000000.0,1.373e+21,7350000000000000.0,7.711e+16,1.585e+24,0.6533845,0.6651992,0.64347464,0.53067535,0.38806248,0.34483314,0.38135228,0.38035533,0.39334387,0.44530138,0.60493916,0.66049486,calmness
342,2.433,0.01806,0.0001185,191.2,0.0005419,0.02047,0.02897,5.467,25.87,6.664,0.0001805,85.42,76.02,82.81,50.13,3.836,1.902,1.769,1.984,1.582,1.663,1.801,1.825,1.592,2.093,1.862,1.387,0.04803,0.1146,0.2797,0.1587,0.09661,0.07647,0.06083,0.04678,0.04257,0.0,0.03444,3.479,184.8,15770.0,3121000.0,18.25,1.34,0.2547,601.4,2314.0,10610000000.0,76070000000.0,428200000000.0,2.809e+17,684700000000.0,3854000000000.0,1.189e+20,11.61,0.05932,8.085e-05,1678.0,0.001448,0.0557,0.5898,24.54,200.4,84.04,0.008995,383.5,362.7,329.4,-149.2,27.05,-7.283,2.194,-3.153,-1.676,-3.051,-0.8063,-0.7863,-1.001,-2.403,-0.8428,-0.9448,-0.9824,0.831,0.1123,-0.03359,-0.0139,0.03053,0.05529,0.06371,0.06178,0.0,0.09901,17.22,304.0,26810.0,4442000.0,36.68,-5.745,0.9908,8823000.0,92550000.0,-77850000000000.0,-816600000000000.0,-8566000000000000.0,1.374e+21,7352000000000000.0,7.712e+16,1.586e+24,0.6111016,0.6083874,0.64193076,0.55325204,0.41700795,0.36762074,0.39849573,0.44187072,0.5200205,0.5542732,0.63849,0.64195377,calmness
343,1.814,0.01271,9.403e-05,196.2,0.0005446,0.0203,0.05517,5.412,22.89,4.385,0.0002158,84.56,56.69,89.43,65.81,3.467,2.097,2.023,2.083,1.687,1.837,1.892,1.946,1.37,1.961,1.203,1.47,0.06426,0.1224,0.2535,0.1587,0.09921,0.07396,0.05877,0.05225,0.04876,0.0,0.03432,2.365,122.9,17500.0,3255000.0,19.56,1.267,0.2848,603.5,2169.0,10650000000.0,75000000000.0,401500000000.0,2.82e+17,675700000000.0,3620000000000.0,1.115e+20,11.17,0.05431,5.542e-05,1660.0,0.001237,0.047,0.5408,23.81,205.5,45.71,0.009349,372.0,349.1,342.4,-156.9,27.33,-5.789,1.518,-2.893,-1.574,-3.737,-0.8896,-0.7705,-1.338,-1.953,-1.106,-0.4659,-0.982,0.8282,0.174,0.007356,-0.003594,0.02159,0.03751,0.04628,0.05354,0.0,0.08124,16.34,314.1,31960.0,5469000.0,36.02,-5.92,0.8145,8825000.0,92560000.0,-77890000000000.0,-816900000000000.0,-8567000000000000.0,1.375e+21,7354000000000000.0,7.713e+16,1.586e+24,0.6489676,0.59945446,0.5928498,0.51298,0.4192384,0.38627577,0.4001322,0.42230952,0.47692966,0.51216865,0.6133679,0.66700876,calmness
344,4.865,0.03748,0.0001078,191.5,0.0006019,0.02214,0.06531,4.625,39.66,3.772,0.0005003,72.26,152.0,75.65,49.85,4.522,2.046,1.954,1.708,1.671,2.114,1.939,2.159,1.826,2.028,2.126,1.362,0.05399,0.1341,0.243,0.1587,0.09821,0.0802,0.07034,0.06112,0.05935,0.0,0.02859,5.343,271.7,16560.0,3924000.0,20.39,1.307,0.2282,602.1,2136.0,10630000000.0,74590000000.0,395500000000.0,2.815e+17,671500000000.0,3560000000000.0,1.098e+20,10.69,0.05372,4.933e-05,1678.0,0.001181,0.04495,0.5972,22.19,186.4,50.79,0.009426,346.7,334.2,318.6,-157.9,26.62,-5.015,2.063,-2.202,-1.7,-2.398,-1.332,-1.18,-1.533,-3.323,-0.6008,-0.6353,-0.9839,0.8151,0.1517,-0.01188,-0.006783,0.03207,0.05392,0.0592,0.05376,0.0,0.07319,16.34,350.1,34480.0,5993000.0,33.56,-6.022,0.7364,8828000.0,92570000.0,-77920000000000.0,-817100000000000.0,-8569000000000000.0,1.376e+21,7357000000000000.0,7.714e+16,1.586e+24,0.6928361,0.70854765,0.7464673,0.6277601,0.42646894,0.33442944,0.31831148,0.31371525,0.34044176,0.42058608,0.62199503,0.6989178,calmness
345,5.728,0.04603,0.001434,253.4,0.001207,0.0447,0.04948,10.17,33.52,12.78,0.0002779,158.8,179.0,118.0,82.83,5.698,3.62,2.712,3.044,2.28,2.083,2.464,2.266,2.55,2.113,2.428,1.978,0.08539,0.1993,0.2329,0.1729,0.1581,0.1197,0.09751,0.09247,0.08593,0.0,0.07789,9.166,862.4,111100.0,21010000.0,25.56,5.308,0.5718,604.6,3260.0,10680000000.0,84740000000.0,603700000000.0,2.828e+17,762800000000.0,5433000000000.0,1.677e+20,11.01,0.06205,0.0004392,1708.0,0.001966,0.07574,0.5727,24.55,192.5,155.2,0.009362,383.5,344.2,280.9,-144.0,19.33,0.1623,-0.8308,1.603,-0.06176,-2.579,-0.9687,-0.2555,-0.3505,-2.957,0.5025,-0.05485,-0.9758,0.7146,0.1151,0.03442,0.06704,0.0112,-0.04905,-0.01955,0.04913,0.0,0.1304,22.72,1091.0,135100.0,24260000.0,31.84,-5.344,1.315,8830000.0,92580000.0,-77960000000000.0,-817400000000000.0,-8570000000000000.0,1.377e+21,7359000000000000.0,7.716e+16,1.587e+24,0.7011708,0.68008727,0.703098,0.68684673,0.61471385,0.48863584,0.34206477,0.2813063,0.2821514,0.32775584,0.5056728,0.68768185,calmness
346,4.114,0.0262,0.001358,242.0,0.001546,0.05624,0.04351,10.38,46.65,43.71,0.0005286,162.1,128.6,128.3,51.1,5.438,3.541,2.52,2.502,2.402,2.408,2.919,2.434,2.772,2.055,2.381,2.441,0.05026,0.2161,0.2456,0.1612,0.1539,0.1164,0.1197,0.09577,0.1023,0.0,0.09415,10.42,1123.0,134600.0,25570000.0,20.94,1.568,0.7171,605.5,3655.0,10700000000.0,88330000000.0,676900000000.0,2.834e+17,793700000000.0,6078000000000.0,1.88e+20,12.49,0.06239,0.0005112,1717.0,0.00231,0.08747,0.5903,27.76,143.7,166.9,0.009582,433.7,390.4,341.1,-135.4,18.34,0.2014,-1.652,-0.3089,-0.8775,-3.525,-1.41,-0.0118,-0.5717,-2.394,0.7779,-0.2116,-0.9766,0.7047,0.106,0.0567,0.1135,0.0342,-0.008968,0.008171,0.03602,0.0,0.1529,25.71,1329.0,160600.0,28750000.0,31.85,-4.913,1.527,8832000.0,92590000.0,-78000000000000.0,-817700000000000.0,-8572000000000000.0,1.378e+21,7362000000000000.0,7.718e+16,1.587e+24,0.5007978,0.5064019,0.6389406,0.6854949,0.67134285,0.57396126,0.41730753,0.34726128,0.34236887,0.369746,0.46548584,0.5248771,calmness
347,4.261,0.0376,0.001308,250.5,0.001495,0.0545,0.0413,10.86,22.86,49.1,0.0002308,169.6,133.2,130.2,50.1,4.778,2.903,2.456,2.601,1.819,2.925,2.371,2.073,2.697,2.502,2.991,2.823,0.04798,0.1657,0.219,0.1421,0.1503,0.1276,0.1103,0.1103,0.1016,0.0,0.08101,9.061,917.3,113800.0,21770000.0,24.21,1.411,0.5975,602.6,3572.0,10650000000.0,87340000000.0,661600000000.0,2.822e+17,786200000000.0,5955000000000.0,1.838e+20,13.21,0.07128,0.0006607,1722.0,0.002605,0.101,0.5882,29.29,158.1,370.5,0.009581,457.7,412.9,339.4,-129.0,16.01,-0.2511,-3.077,-0.3051,-0.2509,-3.353,-2.002,-0.9121,-1.346,-3.039,0.7563,-0.1852,-0.976,0.7341,0.08765,0.049,0.1369,0.01195,-0.05055,-0.0544,0.01873,0.0,0.1729,27.52,1419.0,172500.0,30700000.0,34.65,-4.491,1.74,8834000.0,92600000.0,-78040000000000.0,-818000000000000.0,-8575000000000000.0,1.379e+21,7365000000000000.0,7.72e+16,1.588e+24,0.5406666,0.5194824,0.5545134,0.572062,0.5430962,0.45339975,0.36660442,0.36347994,0.418412,0.41811115,0.4736588,0.54138726,calmness
348,5.646,0.04689,0.002283,247.7,0.001602,0.058,0.05652,9.862,31.19,18.72,0.0004268,154.1,176.4,119.4,50.94,6.262,3.184,2.773,2.559,2.336,2.502,3.203,2.355,2.395,2.935,3.189,2.997,0.0578,0.1687,0.2313,0.1432,0.1553,0.1274,0.1178,0.1052,0.1153,0.0,0.08168,9.516,906.6,110700.0,21120000.0,23.42,1.466,0.585,604.3,3506.0,10680000000.0,86920000000.0,649300000000.0,2.831e+17,782500000000.0,5845000000000.0,1.804e+20,11.8,0.06167,0.0006551,1715.0,0.002367,0.08995,0.5861,25.55,202.5,214.4,0.009405,399.3,368.7,307.3,-135.7,16.36,0.4376,-2.233,0.1462,-1.004,-3.675,-1.588,-1.551,-2.415,-3.517,0.736,-0.09326,-0.9786,0.7299,0.08246,0.07618,0.1432,0.008203,-0.03445,-0.02625,0.04175,0.0,0.1448,25.91,1333.0,160600.0,28560000.0,25.31,-4.699,1.459,8836000.0,92610000.0,-78070000000000.0,-818300000000000.0,-8577000000000000.0,1.38e+21,7367000000000000.0,7.722e+16,1.589e+24,0.5760983,0.61616784,0.6435324,0.63244164,0.56955874,0.4711901,0.37519524,0.34527928,0.3527335,0.37062737,0.45297822,0.5384673,calmness
