10cc-for_you_and_i;calming boring 
cilla_black-alfie;calming powerful boring 
clarence_ashley-the_house_carpenter;boring 
clash-lost_in_the_supermarket;neutral
coasters-poison_ivy;neutral
coldplay-clocks;calming 
contours-do_you_love_me;happy powerful exciting 
count_basie-lester_leaps_in;happy calming exciting romantic 
counting_crows-speedway;sad calming boring 
cowboy_junkies-postcard_blues;sad calming boring 
cranberries-linger;calming boring romantic 
cream-tales_of_brave_ulysses;sad powerful 
creedence_clearwater_revival-travelin_band;happy powerful exciting 
crosby_stills_and_nash-guinnevere;calming boring 
crosby_stills_nash_and_young-teach_your_children;calming boring 
curandero-aras;powerful 
cure-just_like_heaven;neutral
curtis_mayfield-move_on_up;happy 
cyndi_lauper-money_changes_everything;powerful 
cypress_hill-lowrider;exciting 
daft_punk-da_funk;happy 
darkness-i_believe_in_a_thing_called_love;powerful exciting 
dave_matthews_band-ants_marching;happy calming boring 
david_bowie-song_for_bob_dylan;happy powerful exciting 
de_la_soul-eye_know;happy powerful 
dead_kennedys-chemical_warfare;angry powerful exciting 
def_leppard-pour_some_sugar_on_me;happy powerful exciting 
dennis_brown-tribulation;calming powerful 
depeche_mode-world_in_my_eyes;sad boring 
devo-girl_u_want;powerful 
diana_ross_and_the_supremes-where_did_our_love_go;happy calming boring romantic 
dido-here_with_me;calming romantic 
dionne_warwick-walk_on_by;sad calming boring 
dire_straits-money_for_nothing;happy 
dj_jazzy_jeff_and_the_fresh_prince-summertime;happy 
dj_markitos-sunset_138_bpm_remix;sad 
django_reinhardt-brazil;happy calming exciting romantic 
domased-too_slow;neutral
donovan-catch_the_wind;boring 
doobie_brothers-china_grove;happy powerful exciting 
doors-touch_me;happy powerful exciting romantic 
dr._dre-nuthin_but_a_g_thang;angry powerful 
dr_kuch-persuaders_dub;sad exciting 
drevo-our_watcher_show_us_the_way;sad calming boring 
drop_trio-slapjack;happy calming 
duke_ellington_and_his_orchestra-caravan;happy 
duncan_sheik-barely_breathing;neutral
duran_duran-come_undone;sad calming powerful boring romantic 
eagles-tequila_sunrise;sad calming 
earth_wind_and_fire-september;happy 
eels-cancer_for_the_cure;neutral
electric_frankenstein-teenage_shutdown;sad angry powerful 
elliott_smith-baby_britain;happy calming 
elton_john-tiny_dancer;calming boring 
elvis_costello-less_than_zero;neutral
elvis_presley-heartbreak_hotel;sad 
eminem-my_fault;angry powerful 
emma_s_mini-lost;sad powerful exciting 
erasure-chains_of_love;happy powerful romantic 
eric_clapton-wonderful_tonight;calming boring romantic 
etherine-never_leave;sad calming powerful boring 
eurythmics-sweet_dreams;exciting 
evanescence-my_immortal;sad romantic 
everly_brothers-take_a_message_to_mary;sad calming boring romantic 
faith_hill-lets_make_love;powerful romantic 
faith_no_more-epic;angry powerful exciting 
falik-bliss;sad calming boring 
fiona_apple-love_ridden;sad calming powerful boring romantic 
fleetwood_mac-say_you_love_me;calming romantic 
flying_burrito_brothers-break_my_mind;romantic 
foo_fighters-big_me;calming boring 
four_stones-brilliant_day_eine_kleine_mix;boring 
frank_sinatra-fly_me_to_the_moon;happy calming romantic 
frank_zappa-whats_the_ugliest_part_of_your_body;boring 
franz_ferdinand-come_on_home;happy powerful exciting 
garbage-hammering_in_my_head;angry powerful exciting 
gene_clark-the_true_one;sad calming boring 
genesis-cuckoo_cocoon;sad calming boring 
george_harrison-all_things_must_pass;calming boring 
germs-lexicon_devil;exciting 
gin_blossoms-hey_jealousy;sad romantic 
glen_bledsoe-p_pop;boring 
glenn_miller-in_the_mood;happy calming powerful exciting 
gloria_gaynor-i_will_survive;happy powerful exciting 
go-gos-vacation;happy boring 
gram_parsons-1000_wedding;sad boring 
grateful_dead-high_time;boring 
grayson_wray-heaven_s_the_place;boring 
green_day-longview;angry powerful exciting 
guided_by_voices-kicker_of_elves;boring 
guns_n_roses-november_rain;sad 
hall_and_oates-private_eyes;neutral
howlin_wolf-moanin_at_midnight;sad powerful 
human_response-angels;sad 
hybris-hate;sad angry powerful 
ike_and_tina_turner-river_deep_mountain_high;happy powerful 
indidginus-dusty_lands;sad 
interpol-stella_was_a_diver_and_she_was_always_down;sad boring 
introspekt-tbd;powerful 
ivilion-d_b_l;sad angry powerful exciting 
jackalopes-rotgut;angry powerful 
jackson_5-abc;happy powerful exciting 
jacques_brel-les_vieux;calming boring romantic 
jade_leary-going_in;happy sad 
jag-jag_s_rag;boring 
james_brown-give_it_up_or_turnit_a_loose;happy powerful exciting 
james_taylor-fire_and_rain;calming powerful 
jamie_janover-event_horizon;sad calming 
jamiroquai-little_l;happy exciting 
jan_and_dean-surf_city;happy calming exciting 
janes_addiction-been_caught_stealing;happy powerful exciting 
janet_jackson-miss_you_much;happy romantic 
jay_kishor-raga_malgunji_jor;calming boring 
jeff_buckley-last_goodbye;boring 
jefferson_airplane-somebody_to_love;sad powerful exciting 
jerry_lee_lewis-great_balls_of_fire;happy powerful exciting 
jesse_manno-alf_leyla_wa_leyla;powerful exciting 
jewel-enter_from_the_east;sad calming boring 
jimi_hendrix-highway_chile;neutral
john_cale-pablo_picasso;sad angry 
john_coltrane-giant_steps;happy powerful exciting 
john_lee_hooker-boom_boom;happy calming boring 
john_lennon-imagine;boring 
johnny_cash-the_man_comes_around;sad calming powerful 
joram-solipsism;sad powerful 
joy_division-love_will_tear_us_apart;sad boring 
junior_murvin-police_and_thieves;neutral
kansas-carry_on_wayward_son;powerful exciting 
kanye_west-gold_digger;exciting 
kenji_williams-i_m_alive;calming 
king_crimson-thela_hun_ginjeet;neutral
kiss-deuce;powerful exciting 
kokoon-order;powerful exciting 
kool_and_the_gang-funky_stuff;happy powerful exciting 
kourosh_zolani-peaceful_planet;calming 
kraftwerk-spacelab;neutral
kris_kristofferson-the_best_of_all_possible_worlds;sad boring 
lambert_hendricks_and_ross-gimme_that_wine;happy boring 
led_zeppelin-immigrant_song;sad angry powerful exciting 
leonard_cohen-suzanne;calming boring romantic 
lisa_debenedictis-fruitless;boring 
live-lightning_crashes;sad powerful 
liz_phair-supernova;sad angry 
ll_cool_j-mama_said_knock_you_out;sad angry powerful exciting 
los_lobos-corrido_1;happy 
lou_reed-walk_on_the_wild_side;calming 
louis_armstrong-hotter_than_that;happy powerful exciting 
love_and_rockets-mirror_people;sad 
love-you_set_the_scene;neutral
lynyrd_skynyrd-sweet_home_alabama;happy boring 
macy_gray-i_try;sad calming boring romantic 
madness-baggy_trousers;happy 
madonna-ray_of_light;happy 
mamas_and_the_papas-words_of_love;sad powerful 
manassas-bound_to_fall;happy 
marvelettes-please_mr._postman;sad boring 
marvin_gaye-whats_going_on;calming 
mary_wells-my_guy;happy romantic 
massive_attack-risingson;sad 
mazzy_star-fade_into_you;sad calming boring 
mc_hammer-u_cant_touch_this;happy angry powerful exciting 
memories_of_tomorrow-transcend_fate_of_a_dj;happy 
men_at_work-who_can_it_be_now;happy 
metallica-one;sad 
michael_jackson-billie_jean;sad powerful exciting 
michael_masley-advice_from_the_angel_of_thresholds;sad calming 
miles_davis-blue_in_green;sad calming 
moby-porcelain;sad calming powerful boring 
modest_mouse-what_people_are_made_of;sad angry powerful exciting 
monkees-a_little_bit_me_a_little_bit_you;happy boring 
monoide-golden_key;happy calming 
morrissey-everyday_is_like_sunday;calming 
mose_allison-monsters_of_the_id;sad 
mott_the_hoople-roll_away_the_stone;happy powerful 
mr_epic-ruff_and_tumble;calming 
mr_gelatine-knysnamushrooms;sad 
mrdc-leaving;calming boring 
muddy_waters-im_ready;calming powerful 
muddy_waters-mannish_boy;happy sad angry powerful exciting 
my_bloody_valentine-when_you_sleep;neutral
myles_cochran-getting_stronger;calming boring 
napoleon_blown_aparts-higher_education;angry powerful exciting 
natalie_imbruglia-torn;sad 
neil_young_and_crazy_horse-western_hero;sad calming boring 
neil_young-razor_love;calming boring romantic 
nelly-country_grammar;happy exciting 
neutral_milk_hotel-where_youll_find_me_now;sad calming 
new_order-blue_monday;neutral
nine_inch_nails-head_like_a_hole;sad angry powerful 
nirvana-aneurysm;sad angry powerful 
no_doubt-artificial_sweetener;sad angry powerful 
no_doubt-simple_kind_of_life;boring romantic 
norah_jones-dont_know_why;calming boring romantic 
norine_braun-spanish_banks;neutral
nova_express-i_m_alive;sad 
oasis-supersonic;exciting 
ojays-livin_for_the_weekend;happy exciting 
olivia_tremor_control-i_have_been_floated;powerful 
otis_redding-mr._pitiful;happy sad exciting 
outkast-ms._jackson;powerful exciting 
panacea-dragaicuta;sad 
pantera-becoming;sad angry powerful exciting 
paul_mccartney-ebony_and_ivory;happy calming boring 
pearl_jam-yellow_ledbetter;sad powerful exciting 
pet_shop_boys-being_boring;calming boring 
pink_floyd-echoes;sad calming boring 
pixies-wave_of_mutilation;neutral
pizzle-what_s_wrong_with_my_footm;sad angry powerful exciting 
pj_harvey-dry;sad boring 
police-every_little_thing_she_does_is_magic;happy romantic 
portishead-all_mine;sad calming powerful 
pretenders-day_after_day;happy 
primus-jerry_was_a_race_car_driver;sad angry powerful exciting 
processor-nibtal_7;sad angry powerful exciting 
propellerheads-take_california;happy powerful exciting 
psychedelic_furs-love_my_way;sad 
psychetropic-dead_slow_day;sad calming 
queen-we_will_rock_you;happy angry powerful exciting 
r.e.m.-camera;calming boring 
radiohead-karma_police;sad calming 
rage_against_the_machine-maggies_farm;sad angry powerful exciting 
ramones-i_just_want_to_have_something_to_do;happy 
randy_newman-sail_away;calming boring 
ray_charles-hit_the_road_jack;sad powerful 
red_hot_chili_peppers-give_it_away;happy powerful exciting 
replacements-answering_machine;sad 
rick_james-super_freak;happy exciting 
robert_johnson-sweet_home_chicago;boring 
rocket_city_riot-mine_tonite;powerful exciting 
rolling_stones-little_by_little;neutral
ronettes-walking_in_the_rain;happy powerful romantic 
roots_of_rebellion-legend;sad powerful exciting 
roxy_music-love_is_the_drug;neutral
roy_orbison-running_scared;powerful romantic 
rubn_gonzlez-cumbanchero;happy powerful exciting 
rufus_wainwright-cigarettes_and_chocolate_milk;calming boring 
sade-smooth_operator;calming boring 
santana-love_of_my_life;powerful exciting romantic 
sarah_mclachlan-possession;calming powerful 
saros-prelude;sad boring 
scott_hill-silk_road;sad calming boring 
screaming_trees-nearly_lost_you;sad angry exciting 
sebadoh-soul_and_fire;sad boring romantic 
seismic_anamoly-wreckinball;sad exciting 
sex_pistols-pretty_vacant;angry powerful 
shakira-the_one;powerful romantic 
shane_jackman-set_fire_to_the_city;sad calming boring 
sheryl_crow-i_shall_believe;sad calming powerful boring 
shins-new_slang;sad calming boring 
shira_kammen-music_of_waters;calming boring 
shiva_in_exile-hollow_earth;sad 
shuggie_otis-sweet_thang;calming romantic 
simon_and_garfunkel-the_only_living_boy_in_new_york;sad calming powerful romantic 
sinad_oconnor-no_mans_woman;neutral
sir_mix-a-lot-baby_got_back;angry powerful exciting 
skitzo-last_depression;sad angry powerful 
sly_and_the_family_stone-just_like_a_baby;calming boring romantic 
small_faces-lazy_sunday;neutral
smashing_pumpkins-rocket;neutral
smithereens-behind_the_wall_of_sleep;boring 
smiths-how_soon_is_now;sad exciting 
smokey_robinson_and_the_miracles-ooo_baby_baby;calming romantic 
smokey_robinson-cruisin;calming 
snoop_doggy_dogg-gin_and_juice;sad boring 
solace-laz_7_8;sad 
somadrone-coda;sad angry powerful 
sonic_youth-teen_age_riot;powerful 
sonny_rollins-strode_rode;happy powerful exciting 
soul_ii_soul-keep_on_movin;calming romantic 
soulprint-crawlspace;sad angry powerful exciting 
soundgarden-black_hole_sun;sad 
specials-gangsters;happy 
spencer_davis_group-gimme_some_lovin;happy powerful exciting 
spice_girls-stop;happy 
spinecar-stay;sad angry 
spiritualized-stop_your_crying;calming powerful romantic 
squarepusher-a_journey_to_reedham_(7am_mix);happy exciting 
squeeze-pulling_mussels_from_the_shell;happy powerful 
stan_getz-corcovado_quiet_nights_of_quiet_stars;calming boring romantic 
standells-dirty_water;neutral
starship-nothings_gonna_stop_us_now;romantic 
steely_dan-rikki_dont_lose_that_number;neutral
steppenwolf-born_to_be_wild;happy exciting 
stereolab-cybeles_reverie;happy calming romantic 
stevie_ray_vaughan-pride_and_joy;happy powerful exciting romantic 
stevie_wonder-for_once_in_my_life;happy 
sting-big_lie_small_world;calming boring romantic 
stone_roses-i_wanna_be_adored;sad boring 
stooges-dirt;sad powerful 
stranglers-golden_brown;neutral
strawbs-new_world;sad angry 
strojovna_07-130;neutral
style_council-headstart_for_happiness;happy romantic 
sundays-heres_where_the_story_ends;happy calming 
superchunk-slack_motherfucker;angry 
sweet-fox_on_the_run;happy exciting 
syd_barrett-effervescing_elephant;happy 
sylvester-you_make_me_feel_mighty_real;happy exciting 
syreeta-what_love_has_joined_together;happy calming romantic 
t._rex-children_of_the_revolution;angry powerful exciting 
talking_heads-and_she_was;neutral
tears_for_fears-everybody_wants_to_rule_the_world;happy calming boring 
teenage_fanclub-the_concept;boring 
television-venus;neutral
temptations-since_i_lost_my_baby;calming powerful romantic 
thelonious_monk-epistrophy;neutral
they_might_be_giants-i_should_be_allowed_to_think;calming boring 
thin_lizzy-dont_believe_a_word;powerful 
third_eye_blind-semi-charmed_life;exciting 
throwing_muses-hate_my_way;sad angry powerful 
thursday_group-like_white_on_rice;sad exciting 
tilopa-kyo_rei;calming powerful 
tim_buckley-morning_glory;sad calming boring romantic 
tim_hardin-dont_make_promises;calming boring romantic 
tim_rayborn-yedi_tekrar;sad powerful exciting 
todd_rundgren-bang_the_drum_all_day;happy exciting 
tom_paul-little_part_of_me;sad boring 
tom_petty_and_the_heartbreakers-dont_come_around_here_no_more;calming boring 
tom_petty-i_wont_back_down;neutral
tom_waits-time;sad calming boring 
tommy_james_and_the_shondells-i_think_were_alone_now;happy 
tori_amos-professional_widow;sad boring 
touchinggrace-wild_spring_apples;happy calming 
traffic-pearly_queen;angry powerful 
tricky-christiansands;sad 
troggs-wild_thing;happy powerful 
turtles-elenore;happy exciting 
u2-hold_me_thrill_me_kiss_me_kill_me;powerful exciting 
ultravox-dancing_with_tears_in_my_eyes;neutral
uncle_tupelo-the_long_cut;calming romantic 
urge_overkill-sister_havana;powerful exciting 
utopia_banished-by_mourning;sad angry powerful 
van_halen-aint_talkin_bout_love;sad angry powerful 
van_morrison-and_it_stoned_me;calming boring romantic 
vapors-turning_japanese;happy exciting 
velvet_underground-new_age;sad 
version-universal_humans;calming boring 
very_large_array-psychedelic_baby;neutral
violent_femmes-blister_in_the_sun;neutral
war-all_day_music;happy calming romantic 
weezer-buddy_holly;happy exciting 
wes_montgomery-bumpin;calming 
west_exit-nocturne;sad 
white_stripes-hotel_yorba;happy powerful 
whitney_houston-how_will_i_know;romantic 
who-bargain;powerful exciting 
wicked_allstars-happy;happy calming 
wicked_boy-pressure;sad 
wilco-kingpin;neutral
williamson-whats_on_the_ceiling_beats_whats_on_tv;boring 
xtc-love_at_first_sight;happy 
yakshi-chandra;sad calming 
yeah_yeah_yeahs-maps;calming boring 
yes-leave_it;neutral
yo_la_tengo-tom_courtenay;boring 
young_mc-bust_a_move;happy 
young_rascals-baby_lets_wait;sad boring 
zapp-dance_floor;happy 
zombies-beechwood_park;happy calming boring 
