10cc-for_you_and_i;calming 
dj_markitos-sunset_138_bpm_remix;sad 
doobie_brothers-china_grove;happy exciting 
dr._dre-nuthin_but_a_g_thang;angry 
dr_kuch-persuaders_dub;sad exciting 
drevo-our_watcher_show_us_the_way;sad calming 
drop_trio-slapjack;happy calming 
duke_ellington_and_his_orchestra-caravan;happy 
duran_duran-come_undone;sad calming romantic 
eagles-tequila_sunrise;sad calming 
earth_wind_and_fire-september;happy 
electric_frankenstein-teenage_shutdown;sad angry 
elliott_smith-baby_britain;happy calming 
elton_john-tiny_dancer;calming 
elvis_presley-heartbreak_hotel;sad 
eminem-my_fault;angry 
emma_s_mini-lost;sad exciting 
erasure-chains_of_love;happy romantic 
eric_clapton-wonderful_tonight;calming romantic 
etherine-never_leave;sad calming 
eurythmics-sweet_dreams;exciting 
evanescence-my_immortal;sad romantic 
everly_brothers-take_a_message_to_mary;sad calming romantic 
faith_hill-lets_make_love;romantic 
faith_no_more-epic;angry exciting 
falik-bliss;sad calming 
fiona_apple-love_ridden;sad calming romantic 
fleetwood_mac-say_you_love_me;calming romantic 
flying_burrito_brothers-break_my_mind;romantic 
foo_fighters-big_me;calming 
frank_sinatra-fly_me_to_the_moon;happy calming romantic 
franz_ferdinand-come_on_home;happy exciting 
garbage-hammering_in_my_head;angry exciting 
gene_clark-the_true_one;sad calming 
genesis-cuckoo_cocoon;sad calming 
george_harrison-all_things_must_pass;calming 
germs-lexicon_devil;exciting 
gin_blossoms-hey_jealousy;sad romantic 
gloria_gaynor-i_will_survive;happy exciting 
go-gos-vacation;happy 
gram_parsons-1000_wedding;sad 
green_day-longview;angry exciting 
guns_n_roses-november_rain;sad 
howlin_wolf-moanin_at_midnight;sad 
human_response-angels;sad 
hybris-hate;sad angry 
ike_and_tina_turner-river_deep_mountain_high;happy 
indidginus-dusty_lands;sad 
interpol-stella_was_a_diver_and_she_was_always_down;sad 
ivilion-d_b_l;sad angry exciting 
jackalopes-rotgut;angry 
jackson_5-abc;happy exciting 
jacques_brel-les_vieux;calming romantic 
james_brown-give_it_up_or_turnit_a_loose;happy exciting 
james_taylor-fire_and_rain;calming 
jamie_janover-event_horizon;sad calming 
jamiroquai-little_l;happy exciting 
janes_addiction-been_caught_stealing;happy exciting 
janet_jackson-miss_you_much;happy romantic 
jay_kishor-raga_malgunji_jor;calming 
jefferson_airplane-somebody_to_love;sad exciting 
jerry_lee_lewis-great_balls_of_fire;happy exciting 
jesse_manno-alf_leyla_wa_leyla;exciting 
jewel-enter_from_the_east;sad calming 
john_cale-pablo_picasso;sad angry 
john_coltrane-giant_steps;happy exciting 
john_lee_hooker-boom_boom;happy calming 
johnny_cash-the_man_comes_around;sad calming 
joram-solipsism;sad 
joy_division-love_will_tear_us_apart;sad 
kansas-carry_on_wayward_son;exciting 
kanye_west-gold_digger;exciting 
kenji_williams-i_m_alive;calming 
kiss-deuce;exciting 
kokoon-order;exciting 
kool_and_the_gang-funky_stuff;happy exciting 
kourosh_zolani-peaceful_planet;calming 
kris_kristofferson-the_best_of_all_possible_worlds;sad 
lambert_hendricks_and_ross-gimme_that_wine;happy 
led_zeppelin-immigrant_song;sad angry exciting 
leonard_cohen-suzanne;calming romantic 
live-lightning_crashes;sad 
liz_phair-supernova;sad angry 
ll_cool_j-mama_said_knock_you_out;sad angry exciting 
los_lobos-corrido_1;happy 
lou_reed-walk_on_the_wild_side;calming 
louis_armstrong-hotter_than_that;happy exciting 
love_and_rockets-mirror_people;sad 
lynyrd_skynyrd-sweet_home_alabama;happy 
macy_gray-i_try;sad calming romantic 
madness-baggy_trousers;happy 
madonna-ray_of_light;happy 
mamas_and_the_papas-words_of_love;sad 
manassas-bound_to_fall;happy 
marvelettes-please_mr._postman;sad 
marvin_gaye-whats_going_on;calming 
mary_wells-my_guy;happy romantic 
massive_attack-risingson;sad 
mazzy_star-fade_into_you;sad calming 
memories_of_tomorrow-transcend_fate_of_a_dj;happy 
men_at_work-who_can_it_be_now;happy 
metallica-one;sad 
michael_jackson-billie_jean;sad exciting 
michael_masley-advice_from_the_angel_of_thresholds;sad calming 
miles_davis-blue_in_green;sad calming 
moby-porcelain;sad calming 
modest_mouse-what_people_are_made_of;sad angry exciting 
monkees-a_little_bit_me_a_little_bit_you;happy 
monoide-golden_key;happy calming 
morrissey-everyday_is_like_sunday;calming 
mose_allison-monsters_of_the_id;sad 
mott_the_hoople-roll_away_the_stone;happy 
mr_epic-ruff_and_tumble;calming 
mr_gelatine-knysnamushrooms;sad 
mrdc-leaving;calming 
muddy_waters-im_ready;calming 
myles_cochran-getting_stronger;calming 
napoleon_blown_aparts-higher_education;angry exciting 
natalie_imbruglia-torn;sad 
neil_young_and_crazy_horse-western_hero;sad calming 
neil_young-razor_love;calming romantic 
nelly-country_grammar;happy exciting 
neutral_milk_hotel-where_youll_find_me_now;sad calming 
nine_inch_nails-head_like_a_hole;sad angry 
nirvana-aneurysm;sad angry 
no_doubt-artificial_sweetener;sad angry 
no_doubt-simple_kind_of_life;romantic 
norah_jones-dont_know_why;calming romantic 
nova_express-i_m_alive;sad 
oasis-supersonic;exciting 
ojays-livin_for_the_weekend;happy exciting 
outkast-ms._jackson;exciting 
panacea-dragaicuta;sad 
pantera-becoming;sad angry exciting 
paul_mccartney-ebony_and_ivory;happy calming 
pearl_jam-yellow_ledbetter;sad exciting 
pet_shop_boys-being_boring;calming 
pink_floyd-echoes;sad calming 
pizzle-what_s_wrong_with_my_footm;sad angry exciting 
pj_harvey-dry;sad 
police-every_little_thing_she_does_is_magic;happy romantic 
portishead-all_mine;sad calming 
pretenders-day_after_day;happy 
primus-jerry_was_a_race_car_driver;sad angry exciting 
processor-nibtal_7;sad angry exciting 
propellerheads-take_california;happy exciting 
psychedelic_furs-love_my_way;sad 
psychetropic-dead_slow_day;sad calming 
r.e.m.-camera;calming 
radiohead-karma_police;sad calming 
rage_against_the_machine-maggies_farm;sad angry exciting 
ramones-i_just_want_to_have_something_to_do;happy 
randy_newman-sail_away;calming 
ray_charles-hit_the_road_jack;sad 
red_hot_chili_peppers-give_it_away;happy exciting 
replacements-answering_machine;sad 
rick_james-super_freak;happy exciting 
rocket_city_riot-mine_tonite;exciting 
ronettes-walking_in_the_rain;happy romantic 
roots_of_rebellion-legend;sad exciting 
roy_orbison-running_scared;romantic 
rubn_gonzlez-cumbanchero;happy exciting 
rufus_wainwright-cigarettes_and_chocolate_milk;calming 
sade-smooth_operator;calming 
sarah_mclachlan-possession;calming 
saros-prelude;sad 
scott_hill-silk_road;sad calming 
screaming_trees-nearly_lost_you;sad angry exciting 
sebadoh-soul_and_fire;sad romantic 
seismic_anamoly-wreckinball;sad exciting 
sex_pistols-pretty_vacant;angry 
shakira-the_one;romantic 
shane_jackman-set_fire_to_the_city;sad calming 
sheryl_crow-i_shall_believe;sad calming 
shins-new_slang;sad calming 
shira_kammen-music_of_waters;calming 
shiva_in_exile-hollow_earth;sad 
shuggie_otis-sweet_thang;calming romantic 
simon_and_garfunkel-the_only_living_boy_in_new_york;sad calming romantic 
sir_mix-a-lot-baby_got_back;angry exciting 
skitzo-last_depression;sad angry 
sly_and_the_family_stone-just_like_a_baby;calming romantic 
smiths-how_soon_is_now;sad exciting 
smokey_robinson_and_the_miracles-ooo_baby_baby;calming romantic 
smokey_robinson-cruisin;calming 
snoop_doggy_dogg-gin_and_juice;sad 
solace-laz_7_8;sad 
somadrone-coda;sad angry 
sonny_rollins-strode_rode;happy exciting 
soul_ii_soul-keep_on_movin;calming romantic 
soulprint-crawlspace;sad angry exciting 
soundgarden-black_hole_sun;sad 
specials-gangsters;happy 
spencer_davis_group-gimme_some_lovin;happy exciting 
spice_girls-stop;happy 
spinecar-stay;sad angry 
spiritualized-stop_your_crying;calming romantic 
squarepusher-a_journey_to_reedham_(7am_mix);happy exciting 
squeeze-pulling_mussels_from_the_shell;happy 
stan_getz-corcovado_quiet_nights_of_quiet_stars;calming romantic 
starship-nothings_gonna_stop_us_now;romantic 
steppenwolf-born_to_be_wild;happy exciting 
stereolab-cybeles_reverie;happy calming romantic 
stevie_wonder-for_once_in_my_life;happy 
sting-big_lie_small_world;calming romantic 
stone_roses-i_wanna_be_adored;sad 
stooges-dirt;sad 
strawbs-new_world;sad angry 
style_council-headstart_for_happiness;happy romantic 
sundays-heres_where_the_story_ends;happy calming 
superchunk-slack_motherfucker;angry 
sweet-fox_on_the_run;happy exciting 
syd_barrett-effervescing_elephant;happy 
sylvester-you_make_me_feel_mighty_real;happy exciting 
syreeta-what_love_has_joined_together;happy calming romantic 
t._rex-children_of_the_revolution;angry exciting 
tears_for_fears-everybody_wants_to_rule_the_world;happy calming 
temptations-since_i_lost_my_baby;calming romantic 
they_might_be_giants-i_should_be_allowed_to_think;calming 
third_eye_blind-semi-charmed_life;exciting 
throwing_muses-hate_my_way;sad angry 
thursday_group-like_white_on_rice;sad exciting 
tilopa-kyo_rei;calming 
tim_buckley-morning_glory;sad calming romantic 
tim_hardin-dont_make_promises;calming romantic 
tim_rayborn-yedi_tekrar;sad exciting 
todd_rundgren-bang_the_drum_all_day;happy exciting 
tom_paul-little_part_of_me;sad 
tom_petty_and_the_heartbreakers-dont_come_around_here_no_more;calming 
tom_waits-time;sad calming 
tommy_james_and_the_shondells-i_think_were_alone_now;happy 
tori_amos-professional_widow;sad 
touchinggrace-wild_spring_apples;happy calming 
traffic-pearly_queen;angry 
tricky-christiansands;sad 
troggs-wild_thing;happy 
turtles-elenore;happy exciting 
u2-hold_me_thrill_me_kiss_me_kill_me;exciting 
uncle_tupelo-the_long_cut;calming romantic 
urge_overkill-sister_havana;exciting 
utopia_banished-by_mourning;sad angry 
van_halen-aint_talkin_bout_love;sad angry 
van_morrison-and_it_stoned_me;calming romantic 
vapors-turning_japanese;happy exciting 
velvet_underground-new_age;sad 
version-universal_humans;calming 
war-all_day_music;happy calming romantic 
weezer-buddy_holly;happy exciting 
wes_montgomery-bumpin;calming 
west_exit-nocturne;sad 
white_stripes-hotel_yorba;happy 
whitney_houston-how_will_i_know;romantic 
who-bargain;exciting 
wicked_allstars-happy;happy calming 
wicked_boy-pressure;sad 
xtc-love_at_first_sight;happy 
yakshi-chandra;sad calming 
yeah_yeah_yeahs-maps;calming 
young_mc-bust_a_move;happy 
young_rascals-baby_lets_wait;sad 
zapp-dance_floor;happy 
zombies-beechwood_park;happy calming 
