Song,Arousal,Valence,Quadrant
A132-121,0.9,0.9,Q1
A134-142,0.3125,0.7875,Q4
A137-153,0.25,0.825,Q4
A141-139,0.2875,0.8,Q4
A142-98,0.9,0.275,Q2
A143-72,0.21250000000000002,0.275,Q3
A145-134,0.25,0.8125,Q4
A146-118,0.9,0.8125,Q1
A147-169,0.975,0.09999999999999998,Q2
A148-102,0.8375,0.85,Q1
A150-132,0.8375,0.1875,Q2
A151-172,0.8125,0.22499999999999998,Q2
A152-108,0.875,0.875,Q1
A153-130,0.8375,0.9125,Q1
A157-71,0.21250000000000002,0.1875,Q3
A159-164,0.8375,0.275,Q2
A160-149,0.875,0.9,Q1
A162,0.6625,0.75,Q1
A165,0.15000000000000002,0.7875,Q4
A166,0.9375,0.9125,Q1
A167,0.875,0.875,Q1
A170,0.3375,0.2875,Q3
A171,0.1875,0.275,Q3
A172,0.75,0.21250000000000002,Q2
A174,0.75,0.1875,Q2
A176,0.9125,0.125,Q2
A177,0.9375,0.0625,Q2
A178,0.3125,0.75,Q4
A179,0.3375,0.7875,Q4
A182,0.9125,0.08750000000000002,Q2
A183,0.9125,0.0625,Q2
A186,0.21250000000000002,0.85,Q4
A187,0.7875,0.85,Q1
A188,0.3375,0.3125,Q3
A190,0.275,0.8125,Q4
A191,0.3125,0.3375,Q3
A192,0.3125,0.7875,Q4
A193,0.875,0.3125,Q2
A194,0.875,0.21250000000000002,Q2
A195,0.3375,0.3125,Q3
A196,0.75,0.7875,Q1
A198,0.21250000000000002,0.7875,Q4
MT0000004637,0.44375,0.25,Q3
MT0000008995,0.388125,0.34125,Q3
MT0000010219,0.47375,0.22625,Q3
MT0000010844,0.295625,0.7,Q4
MT0000022993,0.44375,0.25,Q3
MT0000026571,0.3243749999999999,0.753125,Q4
MT0000027422,0.42125,0.20875,Q3
MT0000030834,0.24375,0.65875,Q4
MT0000031210,0.31125,0.1375,Q3
MT0000038502,0.56375,0.265625,Q2
MT0000040773,0.60375,0.54375,Q1
MT0000042939,0.50625,0.26875,Q2
MT0000043184,0.3143749999999999,0.311875,Q3
MT0000044741,0.431875,0.311875,Q3
MT0000045345,0.5175,0.7375,Q1
MT0000048600,0.24375,0.65875,Q4
MT0000059269,0.31125,0.1375,Q3
MT0000060906,0.4549999999999999,0.32875,Q3
MT0000062500,0.47375,0.22625,Q3
MT0000063684,0.24375,0.65875,Q4
MT0000066236,0.5462499999999999,0.300625,Q2
MT0000066421,0.333125,0.6018749999999999,Q4
MT0000080053,0.54125,0.80625,Q1
MT0000082188,0.42125,0.20875,Q3
MT0000088320,0.4725,0.33125,Q3
MT0000089238,0.57125,0.334375,Q2
MT0000089410,0.406875,0.7793749999999999,Q4
MT0000091401,0.6243749999999999,0.796875,Q1
MT0000091781,0.36625,0.42625,Q3
MT0000092267,0.38625,0.6125,Q4
MT0000092637,0.31125,0.1375,Q3
MT0000093583,0.5625,0.8,Q1
MT0000095414,0.42125,0.3924999999999999,Q3
MT0000097948,0.3025,0.6656249999999999,Q4
MT0000098581,0.3575,0.25625,Q3
MT0000103049,0.3037499999999999,0.6656249999999999,Q4
MT0000103874,0.5075000000000001,0.768125,Q1
MT0000104363,0.725,0.80625,Q1
MT0000105492,0.66875,0.8,Q1
MT0000110175,0.61125,0.82875,Q1
MT0000113311,0.5606249999999999,0.64625,Q1
MT0000119701,0.389375,0.753125,Q4
MT0000119987,0.665,0.82875,Q1
MT0000123853,0.31125,0.26875,Q3
MT0000124779,0.375,0.28625,Q3
MT0000128573,0.54125,0.765,Q1
MT0000133200,0.54875,0.30625,Q2
MT0000135916,0.29375,0.75625,Q4
MT0000144160,0.325,0.625,Q4
MT0000145509,0.54375,0.395,Q2
MT0000146284,0.30625,0.7,Q4
MT0000146966,0.53125,0.85,Q1
MT0000147182,0.11875,0.75625,Q4
MT0000151451,0.4225,0.815,Q4
MT0000151529,0.38625,0.3425,Q3
MT0000153970,0.53625,0.345,Q2
MT0000162219,0.3143749999999999,0.311875,Q3
MT0000164441,0.389375,0.645,Q4
MT0000169836,0.54,0.35,Q2
MT0000171852,0.300625,0.203125,Q3
MT0000174580,0.5900000000000001,0.80125,Q1
MT0000175597,0.31125,0.1375,Q3
MT0000177451,0.3831249999999999,0.305,Q3
MT0000177878,0.239375,0.678125,Q4
MT0000185453,0.36625,0.1731249999999999,Q3
MT0000185601,0.56125,0.73,Q1
MT0000186467,0.5175,0.26375,Q2
MT0000190640,0.50625,0.29375,Q2
MT0000192913,0.380625,0.28375,Q3
MT0000192982,0.3043749999999999,0.3925,Q3
MT0000195705,0.2775,0.68375,Q4
MT0000197431,0.56125,0.8162499999999999,Q1
MT0000202045,0.3924999999999999,0.6025,Q4
MT0000203193,0.4225,0.80625,Q4
MT0000203272,0.4549999999999999,0.29125,Q3
MT0000214287,0.35125,0.24,Q3
MT0000216849,0.54875,0.1912499999999999,Q2
MT0000218346,0.45125,0.6481250000000001,Q4
MT0000222773,0.42625,0.61375,Q4
MT0000225806,0.6074999999999999,0.7931250000000001,Q1
MT0000231442,0.50625,0.29375,Q2
MT0000231784,0.530625,0.359375,Q2
MT0000235880,0.41125,0.56875,Q4
MT0000245808,0.6243749999999999,0.7887500000000001,Q1
MT0000249842,0.545,0.5375,Q1
MT0000252574,0.57875,0.7931250000000001,Q1
MT0000255724,0.375,0.3425,Q3
MT0000258223,0.2825,0.71,Q4
MT0000258646,0.5462499999999999,0.2774999999999999,Q2
MT0000265621,0.3924999999999999,0.815,Q4
MT0000268576,0.375,0.28625,Q3
MT0000270200,0.51125,0.3,Q2
MT0000271970,0.50625,0.29375,Q2
MT0000277032,0.29375,0.57125,Q4
MT0000277633,0.31125,0.1375,Q3
MT0000283043,0.50625,0.29375,Q2
MT0000287606,0.421875,0.5843750000000001,Q4
MT0000287921,0.50625,0.29375,Q2
MT0000289116,0.375,0.28625,Q3
MT0000292000,0.255,0.76625,Q4
MT0000293345,0.42125,0.459375,Q3
MT0000299291,0.29,0.37,Q3
MT0000300896,0.44375,0.25,Q3
MT0000302038,0.6375,0.77125,Q1
MT0000310204,0.711875,0.7525,Q1
MT0000312152,0.321875,0.3087499999999999,Q3
MT0000315363,0.61125,0.82125,Q1
MT0000315392,0.34375,0.4425,Q3
MT0000316110,0.52375,0.32875,Q2
MT0000318206,0.54875,0.3125,Q2
MT0000318279,0.40125,0.73,Q4
MT0000320757,0.39125,0.3425,Q3
MT0000321394,0.56375,0.305625,Q2
MT0000321824,0.42125,0.73625,Q4
MT0000325093,0.595,0.765,Q1
MT0000335310,0.28625,0.7125,Q4
MT0000336135,0.39375,0.79,Q4
MT0000348553,0.4512499999999999,0.6925,Q4
MT0000353361,0.31125,0.28125,Q3
MT0000357325,0.3925,0.224375,Q3
MT0000369188,0.58,0.685,Q1
MT0000370694,0.4181250000000001,0.69375,Q4
MT0000379144,0.44375,0.2425,Q3
MT0000380307,0.38625,0.69375,Q4
MT0000380971,0.42125,0.20875,Q3
MT0000381928,0.42125,0.19,Q3
MT0000398595,0.4650000000000001,0.760625,Q4
MT0000400490,0.54,0.731875,Q1
MT0000401186,0.58,0.5875,Q1
MT0000401600,0.57875,0.7931250000000001,Q1
MT0000408441,0.44375,0.25625,Q3
MT0000409922,0.370625,0.77625,Q4
MT0000413173,0.31125,0.28625,Q3
MT0000414517,0.70375,0.665,Q1
MT0000419956,0.5875,0.2475,Q2
MT0000421504,0.2775,0.68375,Q4
MT0000425270,0.5462499999999999,0.395625,Q2
MT0000426880,0.58875,0.56625,Q1
MT0000436815,0.40125,0.555,Q4
MT0000441552,0.58125,0.32875,Q2
MT0000446304,0.34375,0.4425,Q3
MT0000447539,0.22625,0.71,Q4
MT0000456939,0.5349999999999999,0.306875,Q2
MT0000460480,0.40625,0.703125,Q4
MT0000463371,0.54875,0.305,Q2
MT0000475876,0.595,0.765,Q1
MT0000481304,0.36,0.555,Q4
MT0000483039,0.255,0.68375,Q4
MT0000487439,0.47375,0.22625,Q3
MT0000497520,0.54,0.7775000000000001,Q1
MT0000515256,0.31125,0.28125,Q3
MT0000518591,0.6375,0.765,Q1
MT0000522450,0.5725,0.6975,Q1
MT0000522789,0.36,0.59,Q4
MT0000522938,0.58125,0.1912499999999999,Q2
MT0000523576,0.2825,0.701875,Q4
MT0000524741,0.4225,0.80625,Q4
MT0000526302,0.41125,0.59,Q4
MT0000534539,0.4599999999999999,0.26875,Q3
MT0000540286,0.666875,0.871875,Q1
MT0000546446,0.5625,0.80625,Q1
MT0000547065,0.38625,0.29125,Q3
MT0000549945,0.29375,0.73,Q4
MT0000550961,0.38125,0.6599999999999999,Q4
MT0000553622,0.25625,0.28125,Q3
MT0000556349,0.56125,0.8162499999999999,Q1
MT0000562195,0.58875,0.35,Q2
MT0000567692,0.36625,0.4724999999999999,Q3
MT0000570966,0.42125,0.459375,Q3
MT0000576231,0.57125,0.391875,Q2
MT0000581530,0.58,0.5875,Q1
MT0000595581,0.400625,0.760625,Q4
MT0000599398,0.34125,0.53125,Q4
MT0000603187,0.31125,0.28625,Q3
MT0000603561,0.3831249999999999,0.2774999999999999,Q3
MT0000604234,0.575,0.309375,Q2
MT0000615489,0.55,0.58375,Q1
MT0000619767,0.31125,0.28625,Q3
MT0000620635,0.4325,0.818125,Q4
MT0000621840,0.6243749999999999,0.7931250000000001,Q1
MT0000630628,0.4493749999999999,0.668125,Q4
MT0000631491,0.11875,0.75625,Q4
MT0000633351,0.341875,0.753125,Q4
MT0000636335,0.38625,0.56875,Q4
MT0000638424,0.4775,0.6025,Q4
MT0000638634,0.4525,0.7775,Q4
MT0000642549,0.58,0.2224999999999999,Q2
MT0000647818,0.2975,0.6725,Q4
MT0000661250,0.38125,0.20875,Q3
MT0000661847,0.255,0.68375,Q4
MT0000666429,0.5175,0.26375,Q2
MT0000670865,0.2775,0.68375,Q4
MT0000672880,0.5625,0.765,Q1
MT0000685324,0.42125,0.20875,Q3
MT0000685538,0.35125,0.24,Q3
MT0000685552,0.4725,0.2875,Q3
MT0000688115,0.36625,0.1731249999999999,Q3
MT0000688312,0.375,0.28625,Q3
MT0000694316,0.50625,0.29375,Q2
MT0000704913,0.5625,0.80625,Q1
MT0000707663,0.35375,0.771875,Q4
MT0000712071,0.6074999999999999,0.796875,Q1
MT0000714708,0.62,0.7575000000000001,Q1
MT0000716124,0.63125,0.86875,Q1
MT0000720686,0.31125,0.1375,Q3
MT0000721873,0.6243749999999999,0.8175,Q1
MT0000723464,0.36,0.57125,Q4
MT0000724357,0.559375,0.3556249999999999,Q2
MT0000727738,0.39125,0.36875,Q3
MT0000732821,0.54875,0.1912499999999999,Q2
MT0000734482,0.4875,0.7775,Q4
MT0000735056,0.50625,0.29375,Q2
MT0000741489,0.57125,0.36875,Q2
MT0000747666,0.37,0.473125,Q3
MT0000753074,0.39375,0.80625,Q4
MT0000754511,0.26125,0.73625,Q4
MT0000763275,0.3531249999999999,0.3925,Q3
MT0000764951,0.300625,0.35625,Q3
MT0000766316,0.6375,0.80625,Q1
MT0000773391,0.53125,0.77375,Q1
MT0000775053,0.401875,0.775625,Q4
MT0000776108,0.42125,0.20875,Q3
MT0000778102,0.54875,0.339375,Q2
MT0000780401,0.41125,0.3675,Q3
MT0000783307,0.54875,0.305,Q2
MT0000793161,0.425,0.69375,Q4
MT0000796526,0.47375,0.2224999999999999,Q3
MT0000805883,0.3225,0.77625,Q4
MT0000807741,0.63125,0.82125,Q1
MT0000811092,0.22375,0.68375,Q4
MT0000811743,0.47375,0.22625,Q3
MT0000825920,0.33,0.73625,Q4
MT0000829531,0.58375,0.328125,Q2
MT0000829765,0.38125,0.20875,Q3
MT0000832464,0.42125,0.20875,Q3
MT0000834505,0.54375,0.39875,Q2
MT0000850050,0.35375,0.31875,Q3
MT0000850957,0.5462499999999999,0.300625,Q2
MT0000851865,0.599375,0.813125,Q1
MT0000853072,0.42125,0.459375,Q3
MT0000854722,0.5175,0.82125,Q1
MT0000857091,0.4356249999999999,0.344375,Q3
MT0000863232,0.34125,0.6125,Q4
MT0000871290,0.54,0.7737499999999999,Q1
MT0000874482,0.541875,0.320625,Q2
MT0000875199,0.358125,0.336875,Q3
MT0000875520,0.61125,0.8025,Q1
MT0000886390,0.50125,0.8106249999999999,Q1
MT0000886723,0.44375,0.3675,Q3
MT0000888329,0.28625,0.6875,Q4
MT0000889229,0.42125,0.20875,Q3
MT0000892306,0.50625,0.29375,Q2
MT0000895003,0.50625,0.29375,Q2
MT0000895905,0.3375,0.624375,Q4
MT0000897883,0.645625,0.7262500000000001,Q1
MT0000900387,0.57875,0.36125,Q2
MT0000900995,0.455,0.8075,Q4
MT0000901959,0.374375,0.5856250000000001,Q4
MT0000903225,0.24375,0.75625,Q4
MT0000906888,0.291875,0.6581250000000001,Q4
MT0000910270,0.56375,0.32,Q2
MT0000913916,0.4237499999999999,0.71,Q4
MT0000920227,0.47625,0.6881250000000001,Q4
MT0000931402,0.325,0.33125,Q3
MT0000934613,0.5462499999999999,0.264375,Q2
MT0000936370,0.58,0.5875,Q1
MT0000948111,0.61125,0.82125,Q1
MT0000949813,0.38125,0.20875,Q3
MT0000950090,0.375,0.28625,Q3
MT0000954088,0.61125,0.82125,Q1
MT0000956340,0.5225,0.29125,Q2
MT0000972004,0.50625,0.29375,Q2
MT0000984023,0.50625,0.29375,Q2
MT0000992846,0.58125,0.82125,Q1
MT0001016068,0.44375,0.36875,Q3
MT0001020011,0.4962500000000001,0.714375,Q4
MT0001030436,0.36625,0.1731249999999999,Q3
MT0001032211,0.3025,0.73,Q4
MT0001035786,0.38625,0.29125,Q3
MT0001042055,0.3225,0.785625,Q4
MT0001043721,0.57125,0.395,Q2
MT0001053268,0.51625,0.785625,Q1
MT0001057748,0.344375,0.684375,Q4
MT0001058887,0.3924999999999999,0.75,Q4
MT0001062700,0.454375,0.4675,Q3
MT0001062974,0.50625,0.29375,Q2
MT0001068364,0.4549999999999999,0.26875,Q3
MT0001069996,0.446875,0.684375,Q4
MT0001084055,0.395625,0.5787500000000001,Q4
MT0001084444,0.70375,0.665,Q1
MT0001094338,0.3924999999999999,0.6725,Q4
MT0001095298,0.47375,0.22625,Q3
MT0001098562,0.5618749999999999,0.32375,Q2
MT0001101467,0.5175,0.36875,Q2
MT0001102610,0.375,0.3425,Q3
MT0001104467,0.3887499999999999,0.4275,Q3
MT0001106114,0.39375,0.79,Q4
MT0001108070,0.4225,0.815,Q4
MT0001109401,0.333125,0.7106250000000001,Q4
MT0001115644,0.3075,0.3,Q3
MT0001116511,0.579375,0.339375,Q2
MT0001117815,0.6275,0.7775,Q1
MT0001121577,0.36,0.57875,Q4
MT0001134958,0.3818749999999999,0.2475,Q3
MT0001144930,0.243125,0.69875,Q4
MT0001152165,0.255,0.76625,Q4
MT0001152664,0.39125,0.3425,Q3
MT0001153847,0.6243749999999999,0.796875,Q1
MT0001156310,0.44375,0.25625,Q3
MT0001157069,0.31125,0.1375,Q3
MT0001168323,0.255,0.75625,Q4
MT0001169715,0.725,0.80625,Q1
MT0001183783,0.4125,0.75625,Q4
MT0001189913,0.5862499999999999,0.82875,Q1
MT0001193202,0.54375,0.3125,Q2
MT0001193331,0.595,0.82125,Q1
MT0001193971,0.485,0.22625,Q3
MT0001194164,0.380625,0.426875,Q3
MT0001195535,0.42125,0.815,Q4
MT0001202986,0.6074999999999999,0.816875,Q1
MT0001217651,0.63125,0.705,Q1
MT0001230193,0.57125,0.305,Q2
MT0001230298,0.47375,0.22625,Q3
MT0001243097,0.2825,0.7112499999999999,Q4
MT0001243566,0.70375,0.665,Q1
MT0001256033,0.29,0.29125,Q3
MT0001265984,0.31125,0.1375,Q3
MT0001266436,0.42125,0.20875,Q3
MT0001276044,0.50625,0.29375,Q2
MT0001277283,0.375,0.32875,Q3
MT0001284282,0.640625,0.790625,Q1
MT0001284801,0.29,0.26875,Q3
MT0001287647,0.52375,0.2875,Q2
MT0001292451,0.54125,0.85125,Q1
MT0001297031,0.375,0.28625,Q3
MT0001298241,0.42125,0.20875,Q3
MT0001301827,0.421875,0.76875,Q4
MT0001302466,0.375,0.28625,Q3
MT0001305550,0.31875,0.20875,Q3
MT0001309422,0.47375,0.22625,Q3
MT0001313815,0.31875,0.78125,Q4
MT0001318718,0.54125,0.8025,Q1
MT0001321861,0.5875,0.375,Q2
MT0001323755,0.36,0.57875,Q4
MT0001323890,0.409375,0.358125,Q3
MT0001328889,0.54875,0.1912499999999999,Q2
MT0001331047,0.310625,0.28375,Q3
MT0001332899,0.2375,0.28125,Q3
MT0001333258,0.57125,0.22625,Q2
MT0001335920,0.5387500000000001,0.82375,Q1
MT0001339839,0.35,0.253125,Q3
MT0001340527,0.44375,0.25625,Q3
MT0001347462,0.33625,0.701875,Q4
MT0001353828,0.52125,0.36875,Q2
MT0001356476,0.6074999999999999,0.7068749999999999,Q1
MT0001356637,0.343125,0.2774999999999999,Q3
MT0001361436,0.54375,0.3125,Q2
MT0001362313,0.473125,0.265,Q3
MT0001368531,0.2306249999999999,0.71,Q4
MT0001369981,0.31125,0.26875,Q3
MT0001370627,0.38125,0.73625,Q4
MT0001372070,0.2375,0.28125,Q3
MT0001376988,0.5231250000000001,0.289375,Q2
MT0001377616,0.315,0.73625,Q4
MT0001380360,0.56,0.336875,Q2
MT0001383277,0.541875,0.3556249999999999,Q2
MT0001385947,0.3143749999999999,0.311875,Q3
MT0001395462,0.31125,0.1375,Q3
MT0001397431,0.5843750000000001,0.3556249999999999,Q2
MT0001404677,0.29,0.26875,Q3
MT0001417252,0.295625,0.73,Q4
MT0001435061,0.44375,0.28125,Q3
MT0001436086,0.2375,0.57875,Q4
MT0001440624,0.400625,0.329375,Q3
MT0001453285,0.36625,0.1731249999999999,Q3
MT0001472536,0.35,0.253125,Q3
MT0001473110,0.54375,0.36875,Q2
MT0001473158,0.53125,0.3556249999999999,Q2
MT0001474073,0.375,0.26,Q3
MT0001477169,0.454375,0.61375,Q4
MT0001486960,0.57875,0.7931250000000001,Q1
MT0001494267,0.28125,0.305,Q3
MT0001494812,0.380625,0.72125,Q4
MT0001497191,0.70375,0.665,Q1
MT0001497786,0.36625,0.1731249999999999,Q3
MT0001504929,0.6481250000000001,0.8981249999999998,Q1
MT0001509368,0.58,0.55875,Q1
MT0001509615,0.31875,0.20875,Q3
MT0001510617,0.54375,0.26125,Q2
MT0001511433,0.29,0.703125,Q4
MT0001514284,0.6481250000000001,0.635625,Q1
MT0001515028,0.239375,0.71,Q4
MT0001518335,0.42125,0.20875,Q3
MT0001520918,0.43125,0.6025,Q4
MT0001521543,0.60375,0.6875,Q1
MT0001523435,0.31125,0.28625,Q3
MT0001526386,0.464375,0.2412499999999999,Q3
MT0001526514,0.53125,0.85,Q1
MT0001528638,0.39375,0.78125,Q4
MT0001531856,0.61125,0.8125,Q1
MT0001531906,0.431875,0.645,Q4
MT0001542457,0.60875,0.36125,Q2
MT0001547111,0.31125,0.28625,Q3
MT0001548914,0.29,0.28125,Q3
MT0001553573,0.50625,0.29375,Q2
MT0001554870,0.55125,0.330625,Q2
MT0001566152,0.39125,0.3425,Q3
MT0001574245,0.60375,0.78125,Q1
MT0001578777,0.56375,0.32,Q2
MT0001583214,0.575625,0.290625,Q2
MT0001590201,0.54375,0.30625,Q2
MT0001590644,0.54875,0.305,Q2
MT0001594582,0.36875,0.6875,Q4
MT0001595082,0.50625,0.26875,Q2
MT0001598707,0.29,0.28625,Q3
MT0001605268,0.6243749999999999,0.688125,Q1
MT0001608499,0.42125,0.26875,Q3
MT0001609615,0.2462499999999999,0.684375,Q4
MT0001609626,0.5175,0.68125,Q1
MT0001610102,0.63125,0.92125,Q1
MT0001615005,0.54875,0.22625,Q2
MT0001616074,0.58,0.2425,Q2
MT0001624303,0.359375,0.71,Q4
MT0001634305,0.35,0.3087499999999999,Q3
MT0001638394,0.4875,0.815,Q4
MT0001639011,0.6,0.6875,Q1
MT0001641165,0.5618749999999999,0.411875,Q2
MT0001641166,0.595,0.3125,Q2
MT0001641430,0.431875,0.466875,Q3
MT0001642019,0.50625,0.29375,Q2
MT0001644811,0.255,0.76625,Q4
MT0001646256,0.42125,0.20875,Q3
MT0001648703,0.54875,0.305,Q2
MT0001653728,0.4775,0.6025,Q4
MT0001658982,0.40125,0.20875,Q3
MT0001661022,0.33,0.73625,Q4
MT0001671399,0.60375,0.74375,Q1
MT0001676671,0.349375,0.743125,Q4
MT0001680969,0.580625,0.684375,Q1
MT0001696863,0.70375,0.665,Q1
MT0001699798,0.4225,0.7775,Q4
MT0001710592,0.50625,0.26875,Q2
MT0001729778,0.48875,0.79,Q4
MT0001732928,0.33375,0.5425,Q4
MT0001738256,0.5275,0.2525,Q2
MT0001742519,0.44375,0.25625,Q3
MT0001747053,0.38625,0.3175,Q3
MT0001757676,0.54125,0.80625,Q1
MT0001760172,0.38125,0.20875,Q3
MT0001765726,0.40125,0.75,Q4
MT0001766004,0.5449999999999999,0.27125,Q2
MT0001768550,0.4375,0.62625,Q4
MT0001770136,0.6375,0.765,Q1
MT0001779167,0.54375,0.395,Q2
MT0001795697,0.6375,0.765,Q1
MT0001801454,0.5225,0.29125,Q2
MT0001810607,0.4243749999999999,0.224375,Q3
MT0001829666,0.6499999999999999,0.8031250000000001,Q1
MT0001831738,0.595,0.875,Q1
MT0001832838,0.4875,0.815,Q4
MT0001835551,0.558125,0.359375,Q2
MT0001839466,0.4243749999999999,0.275625,Q3
MT0001841416,0.44375,0.25625,Q3
MT0001844620,0.42125,0.26875,Q3
MT0001852290,0.50625,0.29375,Q2
MT0001853221,0.38125,0.26875,Q3
MT0001855865,0.665,0.8,Q1
MT0001862892,0.464375,0.2475,Q3
MT0001868336,0.29,0.26875,Q3
MT0001870847,0.373125,0.5431250000000001,Q4
MT0001877603,0.4775,0.6025,Q4
MT0001889075,0.57875,0.1912499999999999,Q2
MT0001889244,0.57875,0.8031250000000001,Q1
MT0001891260,0.42125,0.20875,Q3
MT0001898830,0.55125,0.6825,Q1
MT0001899447,0.31125,0.22625,Q3
MT0001899867,0.563125,0.780625,Q1
MT0001910188,0.42125,0.20875,Q3
MT0001916989,0.53,0.2143749999999999,Q2
MT0001920501,0.300625,0.275,Q3
MT0001927015,0.61125,0.82,Q1
MT0001927474,0.405,0.80625,Q4
MT0001927921,0.5462499999999999,0.2774999999999999,Q2
MT0001929641,0.44375,0.25,Q3
MT0001934410,0.5462499999999999,0.2774999999999999,Q2
MT0001934436,0.44375,0.25,Q3
MT0001934726,0.35,0.253125,Q3
MT0001938929,0.54375,0.375,Q2
MT0001942272,0.4225,0.73625,Q4
MT0001943830,0.401875,0.756875,Q4
MT0001952167,0.44375,0.25625,Q3
MT0001954919,0.26125,0.73625,Q4
MT0001962373,0.5462499999999999,0.300625,Q2
MT0001963447,0.57125,0.3125,Q2
MT0001967374,0.45125,0.25,Q3
MT0001967655,0.42125,0.71,Q4
MT0001972380,0.3375,0.33125,Q3
MT0001972829,0.3143749999999999,0.311875,Q3
MT0001974130,0.50625,0.29375,Q2
MT0001980613,0.42125,0.71,Q4
MT0001982863,0.47375,0.2224999999999999,Q3
MT0001988811,0.35625,0.330625,Q3
MT0001992879,0.54375,0.3125,Q2
MT0001993588,0.50625,0.29375,Q2
MT0001993943,0.50625,0.29375,Q2
MT0002006203,0.31125,0.3125,Q3
MT0002006862,0.58125,0.78125,Q1
MT0002007417,0.35,0.3087499999999999,Q3
MT0002012491,0.50625,0.29375,Q2
MT0002014752,0.2975,0.75625,Q4
MT0002024101,0.56375,0.3087499999999999,Q2
MT0002024741,0.32375,0.73125,Q4
MT0002033217,0.4499999999999999,0.49375,Q3
MT0002034238,0.634375,0.73375,Q1
MT0002050671,0.58125,0.32875,Q2
MT0002052101,0.57875,0.7931250000000001,Q1
MT0002053300,0.70375,0.665,Q1
MT0002054074,0.2881249999999999,0.625625,Q4
MT0002057142,0.31875,0.37,Q3
MT0002060109,0.25625,0.28125,Q3
MT0002068648,0.61125,0.77125,Q1
MT0002071907,0.4568749999999999,0.35,Q3
MT0002078701,0.595,0.7775,Q1
MT0002087541,0.31875,0.36875,Q3
MT0002088249,0.66875,0.8025,Q1
MT0002099419,0.5875,0.375,Q2
MT0002113056,0.63125,0.85125,Q1
MT0002119439,0.599375,0.825,Q1
MT0002124238,0.34125,0.53625,Q4
MT0002131125,0.50625,0.29375,Q2
MT0002132088,0.33,0.76625,Q4
MT0002139311,0.545,0.5375,Q1
MT0002142155,0.31,0.28625,Q3
MT0002161109,0.63125,0.86875,Q1
MT0002169629,0.645,0.3924999999999999,Q2
MT0002177145,0.556875,0.7737499999999999,Q1
MT0002179342,0.540625,0.768125,Q1
MT0002193996,0.3712499999999999,0.743125,Q4
MT0002216668,0.37375,0.743125,Q4
