Song,Quadrant,AllMusic Id,AllMusic Extraction Date,Artist,Title,Relevance,Year,LowestYear,Duration,Moods,MoodsAll,MoodsAllWeights,Genres,GenreWeights,Themes,ThemeWeights,Styles,StyleWeights,AppearancesTrackIDs,AppearancesAlbumIDs,Sample,SampleURL,ActualYear,num_Genres,num_MoodsAll
A018,Q3,MT0003123692,New,Tony Bennett,Solitude,,,,177.0,,"Stylish,Bittersweet,Passionate,Restrained,Yearning,Dreamy,Sophisticated,Dramatic,Refined,Melancholy,Nocturnal,Wistful,Reflective,Elegant,Poignant","7,7,7,7,7,7,7,7,8,9,9,9,9,9,9","Vocal Jazz,Jazz","9,9","Introspection,Dinner Ambiance,Solitude,Late Night,Feeling Blue","7,7,9,9,9",,,,,,,1959,,
A019,Q1,MT0015467011,New,The Beach Boys,California Girls,,,,,,"Playful,Cheerful,Fun,Energetic,Boisterous,Exuberant,Rousing,Sweet,Effervescent,Summery,Warm","7,7,7,7,7,8,8,8,8,9,9","Sunshine Pop,Baroque Pop,Early Pop/Rock,Contemporary Pop/Rock,Pop/Rock","7,7,9,9,9","Guys Night Out,Playful,Pool Party,At the Beach,Summer","7,7,8,9,9",,,,,,,1965,,
A020,Q2,MT0004911116,New,U2,Sunday Bloody Sunday,,,,,,,,,,,,,,,,,,,,
A021,Q4,MT0008488602,New,Dionne Warwick,That's What Friends Are For,,,,256.0,,"Gentle,Amiable/Good-Natured,Smooth,Calm/Peaceful,Bright,Laid-Back/Mellow,Soothing,Atmospheric,Sentimental,Elaborate,Reflective,Dreamy,Sophisticated,Innocent,Refined,Slick,Sweet,Elegant,Light,Stylish,Relaxed,Earnest","9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","Soft Rock,Early Pop/Rock,Pop/Rock","9,9,9","Slow Dance,Empowerment,Affection/Fondness,Comfort,Affirmation","9,9,9,9,9",,,,,,,1985,,
A022,Q1,MT0059263431,New,Beverley's All Stars (Jimmy Cliff),Miss Jamaica,,,,144.0,,,,,,,,,,,,,,,,
A023,Q2,MT0002558335,New,Papa Roach,Last Resort,,,,,,"Visceral,Energetic,Lively,Uncompromising,Earnest,Tense/Anxious,Confident,Brash,Rowdy,Freewheeling,Street-Smart,Slick,Confrontational,Aggressive,Angst-Ridden,Raucous,Rousing,Volatile,Intense","7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8","Alternative Metal,Pop/Rock,Heavy Metal","9,9,9",,,,,,,,,2000,,
A024,Q1,MT0004516270,New,Sade,Paradise,,,,244.0,,"Relaxed,Romantic,Smooth,Sweet,Laid-Back/Mellow,Confident,Calm/Peaceful,Sensual,Hypnotic,Restrained","7,7,7,7,7,7,7,7,7,8","R&B,Urban","9,9","Romantic Evening,In Love","7,8",,,,,,,1988,,
A025,Q2,MT0005685943,New,DMX,Bring Your Whole Crew,,,,56.0,,"Confident,Tough,Menacing,Bravado,Rousing,Rebellious,Boisterous,Aggressive,Gutsy,Street-Smart,Confrontational","8,8,8,8,8,8,8,8,8,8,8","East Coast Rap,Rap,Hardcore Rap","9,9,9","Freedom,Empowerment,Guys Night Out,Cool & Cocky","8,8,8,8",,,,,,,1998,,
A028,Q2,MT0044569810,New,Godsmack,I Fucking Hate You,,,,247.0,,"Aggressive,Menacing,Volatile,Hostile,Angry,Stylish","7,7,7,7,7,8","Industrial Metal,Heavy Metal,Alternative Metal","8,9,9",,,,,,,,,2003,,
A029,Q3,MT0003612848,New,Eric Clapton,Tears in Heaven,,,,271.0,,"Melancholy,Intimate,Soothing,Sentimental,Yearning,Organic,Bittersweet,Gentle,Reflective,Sad,Light,Plaintive,Wistful,Poignant,Searching,Warm,Laid-Back/Mellow,Relaxed","8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","Album Rock,Adult Contemporary,Pop/Rock,Soft Rock,Contemporary Pop/Rock","7,8,9,9,9","Sunday Afternoon,Relaxation,Reflection,Loss/Grief,At the Office,Comfort,Hanging Out,Rainy Day,Introspection","9,9,9,9,9,9,9,9,9",,,,,,,1992,,
A030,Q4,MT0011392112,New,Elvis Presley (John Denver),White Christmas,,,,144.0,,"Reserved,Earnest,Innocent,Precious,Relaxed,Delicate,Wintry,Reflective,Smooth,Refined,Soothing,Gentle,Reverent,Sentimental","7,7,7,7,7,7,7,8,8,8,9,9,9,9","Rock & Roll,Pop/Rock","9,10","Winter,Comfort,Christmas Party","9,9,9",,,,,,,1957,,
A032,Q4,MT0029037628,New,Enya,May It Be,,,,214.0,,"Refined,Circular,Dramatic,Dreamy,Ethereal,Smooth,Atmospheric,Lush,Sparkling,Soothing,Elegant,Reserved,Hypnotic,Gentle,Pastoral,Sophisticated,Light","9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","New Age,Celtic New Age,Adult Alternative,International,Celtic,Contemporary Celtic","8,8,8,9,9,9","Introspection,Meditation,Relaxation,Reflection","9,9,9,9",,,,,,,2001,,
A034,Q3,MT0043537787,New,Anathema,Natural Disaster,,,,,,"Weary,Melancholy,Somber,Brooding,Ominous,Nocturnal,Gloomy","7,7,7,8,8,8,8","Heavy Metal,Goth Metal,Doom Metal,Pop/Rock","9,9,9,10",,,,,,,,,2004,,
A035,Q3,MT0008978516,New,Dream Theater,Disappear,,,,405.0,,Yearning,7,"Neo-Prog,Prog-Rock,Heavy Metal,Hard Rock,Progressive Metal,Pop/Rock","9,9,9,9,9,10","Loss/Grief,Feeling Blue","7,7",,,,,,,2002,,
A038,Q3,MT0004129165,New,Joy Division,The Eternal,,,,,,"Laid-Back/Mellow,Sad","7,7","Post-Punk,Alternative/Indie Rock,Pop/Rock","8,8,8","Regret,Rainy Day,Solitude,Loss/Grief,Late Night,Feeling Blue","7,7,7,7,7,7",,,,,,,1980,,
A039,Q1,MT0008901334,New,ABBA,Dancing Queen,,,,231.0,,"Carefree,Rousing,Confident,Elaborate,Exuberant,Summery,Slick,Sweet,Cheerful,Optimistic,Bravado,Innocent,Precious,Sugary,Joyous,Stylish,Smooth,Wistful,Sexy,Sparkling,Amiable/Good-Natured,Sophisticated,Dreamy,Celebratory,Fun,Elegant,Happy","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8","Disco,R&B,Swedish Pop/Rock,Euro-Pop,Contemporary Pop/Rock,Pop/Rock","7,7,8,9,9,9","Summer,TGIF,Partying,Celebration,Empowerment,Club,Girls Night Out","7,7,7,7,7,7,8",,,,,,,1977,,
A042,Q1,MT0005867458,New,The Beach Boys,Do You Wanna Dance,,,,140.0,,"Summery,Energetic,Lively,Brash,Gutsy,Celebratory,Happy,Exuberant,Fun,Exciting,Joyous,Gleeful,Rousing","7,7,7,7,7,8,8,8,8,9,9,9,9","Rock & Roll,Pop/Rock,Early Pop/Rock,Contemporary Pop/Rock","7,8,8,8","Celebration,Motivation,School,Summer,Prom","7,7,8,8,9",,,,,,,1965,,
A043,Q1,MT0002136621,New,Mary J. Blige,Beautiful Day,,,,,,"Effervescent,Happy,Sparkling,Slick,Lively,Confident,Light","7,7,7,7,7,7,7","Contemporary R&B,R&B","8,10","Day Driving,Summer,Long Walk","7,7,7",,,,,,,2001,,
A045,Q3,MT0034169887,New,Johnny Cash,Hurt,,,,218.0,,"Searching,Dramatic,Tense/Anxious,Visceral,Spooky,Eerie,Restrained,Sparse,Somber,Uncompromising,Ominous,Gloomy,Weary,Bleak,Nihilistic,Brooding","7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9","Traditional Country,Country","9,10","Introspection,Loss/Grief,Late Night,Regret,Scary Music,Feeling Blue","7,8,9,9,9,9",,,,,,,2002,,
A047,Q1,MT0006924173,New,Madonna,La Isla Bonita,,,,,,,,,,,,,,,,,,,,
A048,Q3,MT0001372083,New,R.E.M.,Everybody Hurts,,,,298.0,,"Soothing,Intimate,Relaxed,Gentle,Melancholy,Bittersweet,Searching,Wistful,Atmospheric,Brooding,Reflective,Autumnal,Plaintive,Nocturnal,Yearning,Warm,Dramatic","7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9","Adult Alternative Pop/Rock,Alternative/Indie Rock,Pop/Rock,Alternative Pop/Rock,College Rock","9,9,9,9,9","Comfort,Late Night,Regret,Rainy Day,Stay in Bed,Autumn,Reflection,Feeling Blue,Introspection","7,9,9,9,9,9,9,9,9",,,,,,,1992,,
A049,Q2,MT0005783952,New,AC/DC,Highway to Hell,,,,,,"Tough,Rousing,Rebellious,Fun","8,8,8,8","Arena Rock,Album Rock,Hard Rock,Heavy Metal,Pop/Rock,Aussie Rock","7,7,8,8,8,8",Guys Night Out,8,,,,,,,1979,,
A050,Q1,MT0003826477,New,Shakira,Whenever Wherever,,,,196.0,,"Romantic,Happy,Rousing,Yearning","7,7,7,7","Latin Pop,Latin","7,7","Seduction,Sex,In Love","7,7,7",,,,,,,2001,,
A051,Q2,MT0043538669,New,Slayer,Can't Stand You,,,,,,"Aggressive,Tense/Anxious,Malevolent,Intense,Menacing,Hostile,Nihilistic,Bleak,Harsh,Volatile,Angry,Provocative,Fierce","7,8,8,8,8,8,8,8,8,8,8,8,8","Pop/Rock,Speed/Thrash Metal,Heavy Metal","9,9,9",Guys Night Out,9,,,,,,,1996,,
A052,Q2,MT0005718344,New,AC/DC,Hells Bells,,,,,,"Raucous,Snide,Fun,Rousing,Rebellious","7,7,8,8,8","Heavy Metal,Pop/Rock","8,8",Guys Night Out,8,,,,,,,1980,,
A055,Q2,MT0047985566,New,Bruce Springsteen,Born In The U.S.A.,,,,,,"Intense,Dramatic,Literate,Passionate,Gritty,Rousing,Gutsy,Urgent,Fiery,Cathartic,Angry,Searching,Earnest","9,9,9,9,9,9,9,9,9,9,9,9,9","Album Rock,Contemporary Pop/Rock,Rock & Roll,Hard Rock,Heartland Rock,Pop/Rock","9,9,9,9,9,10",Celebration,7,,,,,,,1984,,
A058,Q4,MT0032729787,New,Frank Sinatra,Over the Rainbow,,,,,,,,,,,,,,,,,,,,
A060,Q3,MT0053459482,New,Aimee Mann,Wise Up,,,,,,"Sad,Literate,Reflective","8,8,8","Alternative/Indie Rock,Contemporary Pop/Rock,Adult Alternative Pop/Rock,Pop/Rock","9,9,9,10","Reflection,Feeling Blue,Loss/Grief","7,7,7",,,,,,,1996,,
A061-66,Q3,MT0040941437,New,Gary Jules,Mad World,,,,189.0,,"Austere,Laid-Back/Mellow,Brooding,Sentimental,Searching,Gentle,Intimate,Soft/Quiet,Cerebral,Earnest,Reserved,Somber,Poignant,Weary,Organic,Yearning,Nihilistic,Bleak,Reflective,Melancholy,Tender,Gloomy,Wistful,Sad","8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9","Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock","9,9,10","Loss/Grief,Regret,Feeling Blue,Reflection,Solitude,Introspection","7,7,9,9,9,9",,,,,,,2001,,
A062-170,Q2,MT0006488377,New,Iron Maiden,Aces High,,,,,,"Intense,Volatile,Rebellious,Rousing,Provocative,Raucous","7,7,7,7,8,8","Heavy Metal,New Wave of British Heavy Metal,British Metal,Pop/Rock","9,9,9,10",Halloween,8,,,,,,,1984,,
A063-90,Q4,MT0003381727,New,Vangelis,Albedo 0.39,,,,,,,,"New Age,Neo-Classical,Progressive Electronic,Electronic","9,9,9,10",,,,,,,,,1976,,
A064-116,Q1,MT0055720522,New,Lionel Richie,All Night Long (All Night),,,,378.0,,"Cheerful,Playful,Rousing,Silly,Lively,Fun,Carefree,Celebratory,Happy,Slick,Amiable/Good-Natured,Smooth","9,9,9,9,9,9,9,9,9,9,9,9","R&B,Adult Contemporary,Urban,Contemporary Pop/Rock,Pop/Rock","8,8,8,9,9","At the Office,TGIF,Hanging Out,Partying,Late Night","9,9,9,9,9",,,,,,,1983,,
A066-140,Q4,MT0057296649,New,Enya,Journey of the Angels,,,,287.0,,"Circular,Wistful,Sentimental,Autumnal,Reserved,Smooth,Atmospheric","7,7,7,7,7,7,8","Holiday,Holidays,Christmas,Celtic New Age,Ethnic Fusion,Pop/Rock,Celtic,International,Adult Alternative,Alternative/Indie Rock,New Age,Contemporary Celtic,Adult Alternative Pop/Rock","7,7,7,8,9,9,9,9,9,9,9,9,9","Winter,Sweet Dreams,Reflection,Affection/Fondness,Affirmation","7,7,7,7,8",,,,,,,2006,,
A067-104,Q4,MT0006066317,New,Loreena McKennitt,The Lady of Shalott,,,,693.0,,"Plaintive,Romantic,Elegant,Refined,Bittersweet","7,7,7,7,7","Contemporary Celtic,Celtic,International,Celtic New Age","7,8,8,8","Heartache,Reflection","7,7",,,,,,,1991,,
A068-167,Q2,MT0005763520,Old,Five Finger Death Punch,Ashes,1.0426534,2007-??-??,,224.0,"Aggressive,Belligerent,Negative,Nervous/Jittery,Pulsing,Strong","Aggressive,Belligerent,Lively,Negative,Nervous/Jittery,Pulsing,Strong","5,5,5,5,5,5,5","Electronic,Pop/Rock","5,5",,,"Club/Dance,Heavy Metal,Speed/Thrash Metal","5,5,5","MT0005763520,MT0008360572,MT0009864728,MT0010065257,MT0010065274,MT0020255592,MT0020276542,MT0039447434,MT0039967310,MT0040014334,MT0044577049,MT0044975831","MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0000746836,MW0002046534,MW0002046534",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=0bkxMEvDIDXzG8Z12cN5NM2KXJKuJLE7UG4BJXcyKZ4=&f=J,2007,,
A071-70,Q3,MT0003732783,New,Ben Folds Five,Brick,,,,279.0,,"Sad,Cerebral,Melancholy,Somber,Earnest,Anguished/Distraught,Reflective,Suffocating,Gloomy,Plaintive,Weary","8,8,8,8,8,8,8,8,8,8,9","Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Pop/Rock,Alternative Pop/Rock","8,9,9,9,9","Feeling Blue,Introspection,Loss/Grief,Regret,Reflection","9,9,9,9,9",,,,,,,1997,,
A073-143,Q3,MT0018619195,New,James Morrison,Broken Strings,,,,250.0,,,,"Contemporary Singer/Songwriter,Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock","7,8,8,10",,,,,,,,,2008,,
A074-91,Q2,MT0046431205,New,Scars of Life,Bullet With Your Name,,,,253.0,,,,"Heavy Metal,Alternative Metal,Pop/Rock","7,7,10",,,,,,,,,2005,,
A077-122,Q1,MT0002482249,New,Kool & the Gang,Celebration,,,,224.0,,"Hedonistic,Happy,Rousing,Joyous,Energetic,Fun,Bright,Celebratory,Exuberant","8,8,8,8,8,8,8,8,9","R&B,Club/Dance,Contemporary Pop/Rock,Disco,Dance-Pop,Urban,Funk,Pop/Rock","9,9,9,9,9,9,9,9","Wedding,Reunion,Victory,Award Winners,Birthday,Playful,TGIF,Celebration,Partying","8,8,8,8,8,8,8,9,9",,,,,,,1980,,
A078-173,Q4,MT0004444128,New,Enya,China Roses,,,,280.0,,"Soothing,Detached,Calm/Peaceful,Ethereal,Smooth,Gentle,Reflective,Atmospheric,Light,Soft/Quiet,Elegant,Hypnotic,Refined,Lush,Circular,Pastoral,Slick,Sparkling,Wistful,Sophisticated,Plaintive,Dreamy,Complex","8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","New Age,International,Alternative/Indie Rock,Pop/Rock,Celtic,Adult Alternative,Adult Alternative Pop/Rock,Contemporary Celtic","8,8,8,8,8,8,8,8","Meditation,Reflection,Introspection,Relaxation","9,9,9,9",,,,,,,1995,,
A080-92,Q2,MT0015972491,New,Alesana,"Congratulations, I Hate You",,,,246.0,,,,"Post-Hardcore,Alternative/Indie Rock,Screamo,Pop/Rock","8,9,9,10",,,,,,,,,2005,,
A081-67,Q3,MT0003508246,New,Radiohead,Creep,,,,235.0,,"Intense,Visceral,Cathartic,Angst-Ridden,Brooding,Raucous,Volatile","7,7,7,7,8,8,9","Alternative Pop/Rock,Alternative/Indie Rock,Britpop,Pop/Rock","9,9,9,10",,,,,,,,,1992,,
A082-93,Q2,MT0035906852,New,Godsmack,Cryin' Like a Bitch!!,,,,203.0,,"Dramatic,Raucous,Hostile,Confrontational,Aggressive,Visceral,Harsh,Volatile,Menacing,Paranoid,Stylish,Fiery","7,7,7,7,7,7,7,8,8,9,9,9",,,"Regret,Jealousy,Introspection","9,9,9",,,,,,,2010,,
A083-158,Q3,MT0007948886,New,Don McLean,Crying,,,,,,Yearning,7,"Soft Rock,Pop/Rock","9,10",,,,,,,,,1971,,
A084-75,Q3,MT0008846759,New,Luther Vandross,Dance With My Father,,,,266.0,,"Sentimental,Somber,Gentle,Light,Wistful,Precious,Sweet,Sparkling,Delicate,Warm,Bittersweet,Plaintive","7,9,9,9,9,9,9,9,9,9,9,9","Adult Contemporary,Contemporary R&B,R&B,Pop/Rock","9,9,9,9","Loss/Grief,Parenthood,Reminiscing,Slow Dance,Family Gatherings,Introspection","9,9,9,9,9,9",,,,,,,2003,,
A085-69,Q3,MT0007714868,New,The Cranberries,Dying in the Sun,,,,212.0,,"Reflective,Sparkling,Wistful,Dreamy,Sweet,Atmospheric,Plaintive,Passionate,Yearning,Ethereal,Dramatic","9,9,9,9,9,9,9,9,9,9,9","Alternative/Indie Rock,Pop/Rock,Celtic Rock,Contemporary Pop/Rock,Alternative Pop/Rock,Adult Alternative Pop/Rock","9,9,9,9,9,9","Heartache,In Love,Reflection,Introspection","9,9,9,9",,,,,,,1999,,
A086-123,Q1,MT0008218846,New,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),,,,246.0,,Celebratory,8,"House,Dance-Pop,Pop/Rock,Club/Dance,Electronic,R&B,Urban","8,8,8,8,8,9,9","Exercise/Workout,Club","8,9",,,,,,,1991,,
A087-165,Q2,MT0039713313,New,Lloyd Banks,Father Time,,,,205.0,,,,"Gangsta Rap,Hardcore Rap","7,9",,,,,,,,,2010,,
A088-136,Q4,MT0053953176,New,Diana Krall,Fly Me to the Moon,,,,366.0,,"Playful,Smooth,Elegant,Summery,Laid-Back/Mellow,Cheerful,Warm,Relaxed,Confident,Carefree","7,7,7,7,8,8,8,8,8,9","Traditional Pop,Standards,Vocal,Vocal Jazz,Jazz","7,7,7,9,9","Small Gathering,Picnic,Road Trip,Dinner Ambiance,Day Driving,Summer,Freedom","7,7,8,8,8,9,9",,,,,,,2002,,
A090-94,Q2,MT0008757562,Old,2Pac,Fuck the World,1.0299832,14/03/1995,14/03/1995,253.0,"Angry,Angst-Ridden,Anguished/Distraught,Complex,Fierce,Harsh,Hostile,Menacing,Somber,Thuggish,Uncompromising","Angry,Angst-Ridden,Anguished/Distraught,Brooding,Complex,Dramatic,Elegant,Fierce,Fiery,Harsh,Hostile,Intense,Melancholy,Menacing,Poignant,Reflective,Searching,Somber,Street-Smart,Theatrical,Thuggish,Uncompromising,Yearning","5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,8,9,9,9,9",Rap,8,"Affirmation,Cool & Cocky,Empowering,Introspection,Motivation,Reflection,Revolutionary","5,5,5,6,7,7,7","G-Funk,Gangsta Rap,West Coast Rap","8,8,8","MT0008757562,MT0008819192,MT0043721304","MW0000625486,MW0000625486,MW0000625486",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=sc9Pi4SwMWM7OYgI3Mb_b2jIb8Tr8vVfGLIuM5x_WSg=&f=J,1995,,
A091-95,Q2,MT0054579573,New,Headstones,Fuck It (Explicit),,,,230.0,,,,,,,,,,,,,,,,
A092-96,Q1,MT0032057722,New,The Beach Boys,"Fun, Fun, Fun",,,,146.0,,"Playful,Confident,Aggressive,Lively,Amiable/Good-Natured,Happy,Cheerful,Boisterous,Rousing,Warm,Energetic,Summery,Fun,Celebratory,Exciting,Joyous,Carefree,Bright","7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9","Rock & Roll,Contemporary Pop/Rock,Pop/Rock","7,9,9","TGIF,Celebration,Motivation,Playful,Mischief,Summer,Girls Night Out","7,7,7,7,8,8,9",,,,,,,1964,,
